Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Alagoas;Água Branca;CARTÓRIO NOTARIAL E REGISTRAL DO 1º OFÍCIO;Certidão de Protesto;E-mail;100
Alagoas;Anadia;CARTÓRIO DO 1 OFICIO DE ANADIA;Certidão de Protesto;E-mail;100
Alagoas;Arapiraca;CARTÓRIO DO 2º OFICIO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Alagoas;Atalaia;2º OFICIO DE NOTAS, PROTESTOS E REGISTRO DE TÍTULOS E DOCUMENTOS DE ATALAIA;Certidão de Protesto;E-mail;100
Alagoas;Batalha;SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Alagoas;Belém;Cartório Único de Notas e do Registro Geral de Imóveis;Certidão de Protesto;E-mail;100
Alagoas;Boca da Mata;ÚNICO OFÍCIO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Alagoas;Cacimbinhas;SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Alagoas;Campo Alegre;UNICO OFICIO NOTARIAL E REGISTRAL DE CAMPO ALEGRE ;Certidão de Protesto;E-mail;100
Alagoas;Capela;Cartório Davi Jatobá Balbino;Certidão de Protesto;E-mail;100
Alagoas;Colônia Leopoldina;ALAGOAS CARTÓRIO DO ÚNICO OFICIO;Certidão de Protesto;E-mail;100
Alagoas;Coruripe;1° SERVIÇO NOTARIAL E REGISTRAL DE CORURIPE;Certidão de Protesto;E-mail;100
Alagoas;Delmiro Gouveia;SERVIÇO NOTARIAL E REGISTRAL COMARCA DE DELMIRO GOUVEIA;Certidão de Protesto;E-mail;100
Alagoas;Dois Riachos;CARTÓRIO DO ÚNICO OFÍCIO;Certidão de Protesto;E-mail;100
Alagoas;Feira Grande;SERVIÇO NOTARIAL E REGISTRAL DO ÚNICO OFÍCIO;Certidão de Protesto;E-mail;100
Alagoas;Flexeiras;SERVIÇO NOTARIAL E REGISTRAL DE FLEXEIRAS;Certidão de Protesto;E-mail;100
Alagoas;Girau do Ponciano;SERVICO NOTARIAL E REGISTRAL DE GIRAU DO PONCIANO;Certidão de Protesto;E-mail;100
Alagoas;Ibateguara;CARTORIO DO UNICO OFICIO DE IBATEGUARA;Certidão de Protesto;E-mail;100
Alagoas;Igaci;TABELIONATO DE NOTAS, PROTESTO E REGISTROS PUBLICOS DE IMOVEIS, TITULOS E DOCUMENTOS E CIVIL DE PESSOAS JURIDICAS DE IGACI ;Certidão de Protesto;E-mail;100
Alagoas;Igreja Nova;CARTÓRIO DO ÚNICO OFÍCIO DE IGREJA NOVA;Certidão de Protesto;E-mail;100
Alagoas;Joaquim Gomes;Cartório do Único Ofício de Joaquim Gomes;Certidão de Protesto;E-mail;100
Alagoas;Junqueiro;Cartório do Único Oficio de Junqueiro;Certidão de Protesto;E-mail;100
Alagoas;Maceio;1º OFICIO DE NOTAS E PROTESTOS DE MACEIÓ;Certidão de Protesto;E-mail;100
Alagoas;Maceio;2º TABELIONATO DE PROTESTO DE TÍTULOS E LETRAS DE MACEIÓ;Certidão de Protesto;E-mail;100
Alagoas;Major Isidoro;CARTÓRIO UNICO OFICIO EDSON AMARAL;Certidão de Protesto;E-mail;100
Alagoas;Maragogi;1 Registro de Notas e Registro de Imóveis de Maragogi;Certidão de Protesto;E-mail;100
Alagoas;Maravilha;SERVIÇO NOTARIAL E REGISTRAL DE MARAVILHA;Certidão de Protesto;E-mail;100
Alagoas;Marechal Deodoro;SERVIÇO NOTORIAL E REGISTRAL DA COMARCA DE MARECHAL DEODORO;Certidão de Protesto;E-mail;100
Alagoas;Maribondo;TABELIONATO DE NOTAS E PROTESTO E OFÍCIO DE REGISTRO DE IMÓVEIS;Certidão de Protesto;E-mail;100
Alagoas;Mata Grande;NOTAS E REGISTROS UNICO OFICIO;Certidão de Protesto;E-mail;100
Alagoas;Matriz de Camaragibe;SERVIÇO NOTARIAL E REGISTRAL DO ÚNICO OFÍCIO;Certidão de Protesto;E-mail;100
