Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Amazonas;Alvarães;CARTÓRIO DE NOTAS E REGISTROS DE OFÍCIO ÚNICO DE ALVARÃES;Certidão de Protesto;E-mail;100
Amazonas;Amaturá;SERVENTIA EXTRAJUDICIAL DE NOTAS, PROTESTOS E REGISTROS DE AMATURA;Certidão de Protesto;E-mail;100
Amazonas;Anamã;CARTÓRIO 1º OFÍCIO DE ANAMÃ;Certidão de Protesto;E-mail;100
Amazonas;Anori;CARTORIO 1º OFICIO DE ANORI;Certidão de Protesto;E-mail;100
Amazonas;Apuí;CARTORIO EXTRAJUDICIAL DE APUÍ;Certidão de Protesto;E-mail;100
Amazonas;Atalaia do Norte;SERVENTIA EXTRAJUDICIAL DE ATALAIA DO NORTE;Certidão de Protesto;E-mail;100
Amazonas;Autazes;CARTORIO DO JUDICIAL E ANEXO DA COMARCA DE AUTAZES;Certidão de Protesto;E-mail;100
Amazonas;Barcelos;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DA COMARCA DE BARCELOS;Certidão de Protesto;E-mail;100
Amazonas;Barreirinha;CARTORIO 1º OFICIO DE BARREIRINHA;Certidão de Protesto;E-mail;100
Amazonas;Benjamin Constant;CARTÓRIO EXTRAJUDICIAL DA COMARCA DE BENJAMIN CONSTANT;Certidão de Protesto;E-mail;100
Amazonas;Beruri;CARTORIO EXTRAJUDICIAL DE BERURI;Certidão de Protesto;E-mail;100
Amazonas;Boa Vista do Ramos;CARTORIO 1º OFICIO DE BOA VISTA DO RAMOS;Certidão de Protesto;E-mail;100
Amazonas;Boca do Acre;CARTORIO 1º OFICIO DE BOCA DO ACRE;Certidão de Protesto;E-mail;100
Amazonas;Borba;CARTÓRIO EXTRAJUDICIAL DA COMARCA DE BORBA;Certidão de Protesto;E-mail;100
Amazonas;Caapiranga;CARTORIO 1º OFICIO DE CAAPIRANGA;Certidão de Protesto;E-mail;100
Amazonas;Canutama;Cartório Mota - Ofício Único da Comarca de Canutama;Certidão de Protesto;E-mail;100
Amazonas;Carauari;SERVENTIA EXTRAJUDICIAL DE CARAUARI - OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Amazonas;Careiro;CARTORIO EXTRAJUDICIAL DA COMARCA DO CAREIRO;Certidão de Protesto;E-mail;100
Amazonas;Careiro da Várzea;Cartório Extrajudicial de Careiro da Várzea;Certidão de Protesto;E-mail;100
Amazonas;Coari;CARTORIO 1º OFICIO DE COARI;Certidão de Protesto;E-mail;100
Amazonas;Codajás;CARTÓRIO EXTRAJUDICIAL DA COMARCA DE CODAJÁS;Certidão de Protesto;E-mail;100
Amazonas;Eirunepé;CARTORIO 1º OFICIO DE EIRUNEPÉ;Certidão de Protesto;E-mail;100
Amazonas;Envira;CARTORIO EXTAJUDICIAL DA COMARCA DE ENVIRA;Certidão de Protesto;E-mail;100
Amazonas;Fonte Boa;CARTORIO 1º OFICIO DE FONTE BOA;Certidão de Protesto;E-mail;100
Amazonas;Guajará;CARTORIO 1º OFICIO DE GUAJARA;Certidão de Protesto;E-mail;100
Amazonas;Humaitá;CARTORIO 2º OFICIO DE HUMAITA;Certidão de Protesto;E-mail;100
Amazonas;Ipixuna;CARTORIO 1º OFICIO DE IPIXUNA;Certidão de Protesto;E-mail;100
Amazonas;Iranduba;CARTORIO DE JUDICIAL E ANEXO DA COMARCA DE IRANDUBA ;Certidão de Protesto;E-mail;100
