Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Amapa;Amapá;1º Ofício de Registros Públicos e Tabelionato de Amapá;Certidão de Protesto;E-mail;100
Amapa;Calçoene;Cartório de Registros Públicos e Tabelionato de Calçoene;Certidão de Protesto;E-mail;100
Amapa;Ferreira Gomes;Cartório de Registros Públicos e Tabelionato de Ferreira Gomes;Certidão de Protesto;E-mail;100
Amapa;Laranjal do Jarí;Cartório Lourenço - Tabelionato de Notas e Registros Públicos;Certidão de Protesto;E-mail;100
Amapa;Macapá;1º Ofício de Notas, Registros e Anexos de Macapá - Jucá Cruz;Certidão de Protesto;E-mail;100
Amapa;Macapá;3º Ofício de Notas e Anexos de Macapá - Cartório Vales;;;
Amapa;Mazagão;Cartório de Registros Públicos e Tabelionato de Mazagão;Certidão de Protesto;E-mail;100
Amapa;Oiapoque;CARTÓRIO DE REGISTROS PÚBLICOS E TABELIONATO DO OIAPOQUE;Certidão de Protesto;E-mail;100
Amapa;Pedra Branca do Amapari;CARTÓRIO OFIRNEY SADALA PEDRA BRANCA DO AMAPARI;Certidão de Protesto;E-mail;100
Amapa;Porto Grande;REGISTROS PUBLICOS E TABELIONATO DO UNICO OFICIO DE PORTO GRANDE AP - CARTÓRIO ALMEIDA;Certidão de Protesto;E-mail;100
Amapa;Pracuúba;CARTÓRIO DE REGISTROS PÚBLICOS E TABELIONATO DE PRACUÚBA;Certidão de Protesto;E-mail;100
Amapa;Santana;1º Ofício de Notas da Comarca de Santana;Certidão de Protesto;E-mail;100
Amapa;Serra do Navio;Cartório de Registros Públicos e Notas de Serra do Navio;Certidão de Protesto;E-mail;100
Amapa;Tartarugalzinho;Cartório de Registros Públicos e Tabelionato de Tartarugalzinho;Certidão de Protesto;E-mail;100
Amapa;Vitória do Jari;CARTORIO DE REGISTRO PUB E TABEL DA COMARCA VITORIA DO JARI;Certidão de Protesto;E-mail;100
