Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Bahia;Abare;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Acajutiba;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DE ACAJUTIBA;Certidão de Protesto;E-mail;100
Bahia;Alagoinhas;TABELIONATO DE PROTESTO DE ALAGOINHAS;Certidão de Protesto;E-mail;100
Bahia;Alcobaça;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DE ALCOBAÇA;Certidão de Protesto;E-mail;100
Bahia;Amargosa;TABELIONATO DE PROTESTO DE TÍTULOS E DOCUMENTOS - AMARGOSA;Certidão de Protesto;E-mail;100
Bahia;Amélia Rodrigues;SERVIÇO EXTRAJUDICIAL DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Bahia;América Dourada;Registro Civil de Pessoas Naturais, Tabelionato de notas e Tabelionato de Protesto de America Dourada;Certidão de Protesto;E-mail;100
Bahia;Anagé;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANAGÉ;Certidão de Protesto;E-mail;100
Bahia;Andarai;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANDARAÍ;Certidão de Protesto;E-mail;100
Bahia;Angical;SEGUNDO OFICIO;Certidão de Protesto;E-mail;100
Bahia;Antas;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANTAS;Certidão de Protesto;E-mail;100
Bahia;Aporá;TABELIONATO DE NOTAS COM FUNÇÃO PROTESTO APORÁ;Certidão de Protesto;E-mail;100
Bahia;Araci;CARTÓRIO DE NOTAS, PROTESTOS E REGISTRO CIVIL DAS PESSOAS NATURAIS DE ARACI;Certidão de Protesto;E-mail;100
Bahia;Aurelino Leal;SERVENTIA EXTRAJUDICIAL DO SEGUNDO OFICIO MUNICIPIO AURELINO LEAL;Certidão de Protesto;E-mail;100
Bahia;Baixa Grande;TABELIONATO DE NOTAS COM FUNCAO DE PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Barra;SERVENTIA EXTRAJUDICIAL DO SEGUNDO OFCIO;Certidão de Protesto;E-mail;100
Bahia;Barra da Estiva;TABELIONATO DE NOTAS COM FUNCAO DE PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Barra do Choça;CARTÓRIO DE NOTAS E PROTESTO DE TÍTULOS DE BARRA DO CHOÇA;Certidão de Protesto;E-mail;100
Bahia;Barra do Mendes;oficio unico de barra do mendes;Certidão de Protesto;E-mail;100
Bahia;Barreiras;CARTÓRIO DE PROTESTO DE TÍTULOS DE BARREIRAS;Certidão de Protesto;E-mail;100
Bahia;Barro Preto;Tabelionato de Notas e Protesto;Certidão de Protesto;E-mail;100
Bahia;Belmonte;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BELMONTE;Certidão de Protesto;E-mail;100
Bahia;Belo Campo;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE BELO CAMPO - BA;Certidão de Protesto;E-mail;100
Bahia;Boa Nova;SERVENTIA DO OFICIO UNICO DO MUNICIPIO DE BOA NOVA;Certidão de Protesto;E-mail;100
Bahia;Boa Vista do Tupim;TABELIONATO DE NOTAS E PROTESTO DE BOA VISTA DO TUPIM;Certidão de Protesto;E-mail;100
Bahia;Bom Jesus da Lapa;CARTÓRIO TABELIONATO DE NOTAS E PROTESTO DE BOM JESUS DA LAPA;Certidão de Protesto;E-mail;100
Bahia;Boquira;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BOQUIRA;Certidão de Protesto;E-mail;100
Bahia;Botuporã;Cartório SUZANA MARTINS GUEDES;Certidão de Protesto;E-mail;100
Bahia;Brejões;Serventia Extrajudicial de Ofício Único-Município de BREJÕES Comarca de Amargosa;Certidão de Protesto;E-mail;100
Bahia;Brotas de Macaúbas;TABELIONATO DE NOTAS E PROTESTO DA COMARCA DE BROTAS DE MACAÚBAS;Certidão de Protesto;E-mail;100
Bahia;Brumado;CARTÓRIO DE NOTAS DE BRUMADO;Certidão de Protesto;E-mail;100
Bahia;Buerarema;TABELIONATO DE NOTAS E PROTESTO DE BUERAREMA;Certidão de Protesto;E-mail;100
Bahia;Cachoeira;TABELIONATO DE NOTAS E PROTESTO DA COMARCA DE CACHOEIRA;Certidão de Protesto;E-mail;100
Bahia;Caculé;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DE CACULE;Certidão de Protesto;E-mail;100
Bahia;Caetité;2° OFÍCIO EXTRAJUDICIAL DA COMARCA DE CAETITÉ;Certidão de Protesto;E-mail;100
Bahia;Caldeirão Grande;TABELIONATO DE NOTAS COM FUNCAO DE PROTESTO DE CALDEIRAO GRANDE;Certidão de Protesto;E-mail;100
Bahia;Camacan;Cartório ZELINDO PIRES;Certidão de Protesto;E-mail;100
Bahia;Camaçari;Tabelionato de Protesto de Títulos de Camaçari;Certidão de Protesto;E-mail;100
Bahia;Camamu;Serventia Extrajudicial do Oficio Único de Camamu;Certidão de Protesto;E-mail;100
Bahia;Campo Formoso;TABELIONATO DE NOTAS COM PROTESTO DE CAMPO FORMOSO;Certidão de Protesto;E-mail;100
Bahia;Canarana;Cartório MARISTELA SANTOS DE ARAUJO LOPES;Certidão de Protesto;E-mail;100
Bahia;Canavieiras;2º Ofício - Registro Civil, Tabelionato de Notas com Função de Protesto;Certidão de Protesto;E-mail;100
Bahia;Candeias;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO - CANDEIAS;Certidão de Protesto;E-mail;100
Bahia;Cândido Sales;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CÂNDIDO SALES;Certidão de Protesto;E-mail;100
Bahia;Cansanção;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Bahia;Canudos;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Bahia;Capela do Alto Alegre;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Bahia;Capim Grosso;TABELIONATO DE NOTAS E PROTESTO DE CAPIM GROSSO;Certidão de Protesto;E-mail;100
Bahia;Caravelas;Registro de Imóveis, Hipotecas e Títulos e Documentos, Civil das Pessoas Jurídicas e Tabelionato de Notas e Protesto de Títulos;Certidão de Protesto;E-mail;100
Bahia;Carinhanha;TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Casa Nova;Cartório Cássio de Carvalho Lobão;Certidão de Protesto;E-mail;100
Bahia;Castro Alves;REGISTRO CIVIL DAS PESSOAS NATURAIS, TABELIONATO DE NOTAS E PROTESTO DE CASTRO ALVES;Certidão de Protesto;E-mail;100
Bahia;Catu;2º OFÍCIO - TABELIONATO DE PROTESTO DA COMARCA DE CATU;Certidão de Protesto;E-mail;100
Bahia;Central;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DA COMARCA DE CENTRAL;Certidão de Protesto;E-mail;100
Bahia;Chorrocho;Serventia Extrajudicial do Ofício Único de Chorrochó;Certidão de Protesto;E-mail;100
Bahia;Cícero Dantas;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CÍCERO DANTAS;Certidão de Protesto;E-mail;100
Bahia;Cipo;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DA COMARCA DE CIPÓ;Certidão de Protesto;E-mail;100
Bahia;Coaraci;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO - COARACI;Certidão de Protesto;E-mail;100
Bahia;Cocos;CARTÓRIO DO 2º OFÍCIO DE COCOS;Certidão de Protesto;E-mail;100
Bahia;Conceição da Feira;CARTÓRIO SEGUNDO OFÍCIO DE CONCEIÇÃO DA FEIRA;Certidão de Protesto;E-mail;100
Bahia;Conceição do Almeida;CARTÓRIO DE REGISTRO CIVIL, NOTAS E PROTESTO DE CONCEICAO DO ALMEIDA;Certidão de Protesto;E-mail;100
Bahia;Conceição do Coité;SERVENTIA EXTRAJUDICIAL DO 2º OFÍCIO-Notas-Registro Civil-Protesto;Certidão de Protesto;E-mail;100
Bahia;Conceição do Jacuípe;TABELIONATO DE NOTAS COM FUNCÃO DE PROTESTO - CONCEIÇÃO DO JACUÍPE;Certidão de Protesto;E-mail;100
Bahia;Conde;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DA COMARCA DE CONDE;Certidão de Protesto;E-mail;100
Bahia;Condeúba;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE CONDEUBA;Certidão de Protesto;E-mail;100
Bahia;Coração de Maria;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DA COMARCA DE CORAÇÃO DE MARIA;Certidão de Protesto;E-mail;100
Bahia;Coribe;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DA COMARCA DE CORIBE;Certidão de Protesto;E-mail;100
Bahia;Correntina;CARTORIO DO 2º OFICIO DE CORRENTINA;Certidão de Protesto;E-mail;100
Bahia;Cotegipe;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Bahia;Cristópolis;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DE CRISTOPOLIS;Certidão de Protesto;E-mail;100
Bahia;Cruz das Almas;Tabelionato de Notas com função de Protesto de Cruz das Almas;Certidão de Protesto;E-mail;100
Bahia;Curaça;TABELIONATO DE NOTAS E PROTESTO DE CURACA;Certidão de Protesto;E-mail;100
Bahia;Dias d'Ávila;TABELIONATO DE NOTAS E PROTESTO DE TITULOS DA COMARCA DE DIAS D'AVILA;Certidão de Protesto;E-mail;100
Bahia;Encruzilhada;CARTÓRIO DO OFÍCIO ÚNICO DE ENCRUZILHADA;Certidão de Protesto;E-mail;100
Bahia;Entre Rios;Tabelionato de Notas com Função de Protesto;Certidão de Protesto;E-mail;100
Bahia;Esplanada;TABELIONATO DE NOTAS COM PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Euclides da Cunha;TABELIONATO DE NOTAS E PROTESTO DE ECULIDES DA CUNHA;Certidão de Protesto;E-mail;100
Bahia;Eunápolis;TABELIONATO DE NOTAS E PROTESTO DE EUNÁPOLIS;Certidão de Protesto;E-mail;100
Bahia;Feira de Santana;TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE FEIRA DE SANTANA;Certidão de Protesto;E-mail;100
Bahia;Formosa do Rio Preto;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DE FORMOSA DO RIO PRETO;Certidão de Protesto;E-mail;100
Bahia;Gandu;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE GANDU;Certidão de Protesto;E-mail;100
Bahia;Gavião;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Bahia;Gentio do Ouro;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DA COMARCA DE GENTIO DO OURO;Certidão de Protesto;E-mail;100
Bahia;Glória;REGISTRO CIVIL DE PESSOAS NATURAIS E TABELIONATO DE NOTAS E PROTESTOS DE GLÓRIA;Certidão de Protesto;E-mail;100
Bahia;Governador Mangabeira;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Bahia;Guanambi;CARTÓRIO CÉSAR BARROS;Certidão de Protesto;E-mail;100
Bahia;Guaratinga;CARTORIO DE NOTAS COM FUNÇÕES DE PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Iaçu;Tabelionato de Notas com Função de Protesto de Títulos de Iaçu;Certidão de Protesto;E-mail;100
Bahia;Ibicaraí;CARTORIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Ibicuí;2º OFÍCIO DO MUNICÍPIO DE IBICUÍ;Certidão de Protesto;E-mail;100
Bahia;Ibiquera;TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO;Certidão de Protesto;E-mail;100
Bahia;Ibirapitanga;CARTÓRIO DO 2º OFÍCIO DE IBIRAPITANGA;Certidão de Protesto;E-mail;100
Bahia;Ibirapuã;CARTÓRIO DE REGISTRO DE IMÓVEIS TITULOS E DOCUMENTOS, CIVIL DAS PESSOAS JURIDICAS TABELIONATO DE NOTAS E PROTESTO DA COMARCA DE IBIRAPUÃ;Certidão de Protesto;E-mail;100
Bahia;Ibirataia;SERVENTIA EXTRAJUDICIAL DO ÚNICO OFICIO DA COMARCA DE IBIRATAIA;Certidão de Protesto;E-mail;100
Bahia;Ibitiara;TABELIONATO DE NOTAS COM FUNCAO DE PROTESTO DA COMARCA DE IBITIARA;Certidão de Protesto;E-mail;100
Bahia;Ibititá;Tabelionato de Notas com Função de Protesto;Certidão de Protesto;E-mail;100
