Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Ceara;Abaiara;CARTÓRIO DE NOTAS E REGISTROS DE ABAIARA;Certidão de Protesto;E-mail;100
Ceara;Acarape;NOTAS E REGISTROS PÚBLICOS LOPES ROCHA DE ACARAPE;Certidão de Protesto;E-mail;100
Ceara;Acaraú;CARTÓRIO DO 1º  OFÍCIO DE NOTAS E REGISTROS;Certidão de Protesto;E-mail;100
Ceara;Acaraú;CARTORIO FELIPE ROCHA;Certidão de Protesto;E-mail;100
Ceara;Acopiara;CARTÓRIO DO 2º OFICIO DE ACOPIARA;Certidão de Protesto;E-mail;100
Ceara;Acopiara;CARTÓRIO DO 1º OFÍCIO DE REGISTRO CIVIL DA COMARCA DE ACOPIARA;Certidão de Protesto;E-mail;100
Ceara;Acopiara;CARTÓRIO DO 3° OFICIO ACOPIARA;Certidão de Protesto;E-mail;100
Ceara;Aiuaba;1º Ofício de Registro Civil das Pessoas Naturais;Certidão de Protesto;E-mail;100
Ceara;Aiuaba;CARTÓRIO DO 2º OFICIO DE AIUABA;Certidão de Protesto;E-mail;100
Ceara;Alcantaras;CARTÓRIO DE OFICIO NOTAS E REGISTROS;Certidão de Protesto;E-mail;100
Ceara;Altaneira;CARTÓRIO DE OFICIO NOTAS E REGISTROS;Certidão de Protesto;E-mail;100
Ceara;Alto Santo;2º OFÍCIO DE REGISTRO DE IMÓVEIS;Certidão de Protesto;E-mail;100
Ceara;Alto Santo;CARTORIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS;Certidão de Protesto;E-mail;100
Ceara;Amontada;OFÍCIO DE NOTAS E REGISTROS DE AMONTADA;Certidão de Protesto;E-mail;100
Ceara;Antonina do Norte; 1º OFICIO DE REGISTRO CIVIL DE ANTONINA DO NORTE;Certidão de Protesto;E-mail;100
Ceara;Antonina do Norte;CARTORIO DO 2 OFÍCIO;Certidão de Protesto;E-mail;100
Ceara;Apuiarés;CARTÓRIO DE OFICIO NOTAS E REGISTROS;Certidão de Protesto;E-mail;100
Ceara;Aquiraz;2º OFÍCIO DE NOTAS E REGISTROS PÚBLICOS;Certidão de Protesto;E-mail;100
Ceara;Aquiraz;CARTÓRIO DE 3º OFÍCIO DA SEDE DA COMARCA DE AQUIRAZ;Certidão de Protesto;E-mail;100
Ceara;Aquiraz;REGISTRO CIVIL E NOTAS CARTÓRIO QUEIROZ;Certidão de Protesto;E-mail;100
Ceara;Aracati;ARACATI CARTORIO DO 3 OFICIO DE REGISTRO IMOBILIARIO;Certidão de Protesto;E-mail;100
Ceara;Aracati;ARACATI CARTÓRIO DO REGISTRO CIVIL 1º  OFÍCIO;Certidão de Protesto;E-mail;100
Ceara;Aracati;ARACATI CARTORIO DO REGISTRO DE IMOVEIS 2 OFICIO;Certidão de Protesto;E-mail;100
Ceara;Aracoiaba;1º OFÍCIO DE ARACOIABA;Certidão de Protesto;E-mail;100
Ceara;Aracoiaba;CARTORIO DO 2 OFICIO DE NOTAS E REGISTROS PUBLICOS;Certidão de Protesto;E-mail;100
Ceara;Ararendá;CARTÓRIO DE NOTAS E REGISTROS DE ARARENDÁ;Certidão de Protesto;E-mail;100
Ceara;Araripe;1º OFÍCIO DE ARARIPE;Certidão de Protesto;E-mail;100
Ceara;Araripe;CARTÓRIO DO SEGUNDO OFÍCIO DE ARARIPE;Certidão de Protesto;E-mail;100
Ceara;Aratuba;CARTORIO ARATUBA;Certidão de Protesto;E-mail;100
Ceara;Arneiroz;1 OFICIO DE NOTAS E REGISTROS;Certidão de Protesto;E-mail;100
Ceara;Assaré;1 OFICIO DE ASSARE;Certidão de Protesto;E-mail;100
Ceara;Assaré;2 OFICIO DE REGISTRO DE IMÓVEIS DE ASSARÉ;Certidão de Protesto;E-mail;100
Ceara;Aurora;CARTÓRIO LEITE 2º OFÍCIO;Certidão de Protesto;E-mail;100
