Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Distrito Federal;Brasilia;10º Ofício de Notas e Protesto de Títulos da Ceilândia;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;11º Ofício de Notas e Protesto de Títulos de Sobradinho;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;12º Ofício de Notas e Protesto de Títulos de Planaltina;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;1º Ofício de Notas e Protesto de Títulos de Brasília;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;1º Ofício de Notas, Reg. Civil, TDPJ e Protesto de Títulos do Núcleo Bandeirante;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;1º Ofício de Protesto de Títulos de Brasília;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;2 Ofício de Notas e Protesto de Brasilia - Cartório da Capital;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;2º OFÍCIO DE NOTAS, REGISTRO CIVIL, TÍTULOS E DOCUMENTOS, PROTESTO DE TÍTULOS E PESSOAS JURIDICAS DO DF;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;2º Ofício de Protesto de Títulos do Guará;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;3º Ofício de Notas e Protesto de Títulos de Brasília;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;3º Ofício de Notas, Registro Cívil, Protesto, Títulos e Documentos e Pessoa Júridica do DF;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;4º Ofício de Notas, Reg. Cívil, TDPJ e Protesto de Títulos de Brazlândia;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;5º OFICIO DE NOTAS, R.C, T.D, PROT. TÍT. E PJ DO GUARA;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;8. Ofício de Notas Protesto de Títulos do Gama;Certidão de Protesto;E-mail;100
Distrito Federal;Brasilia;9º Ofício de Notas e Protesto de Títulos do Gama;Certidão de Protesto;E-mail;100
