Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Goias;Abadia de Goiás;TABELIONATO DE NOTAS, DE PROTESTOS DE TÍTULOS, DE REGISTRO DE CONTRATOS MARÍTIMOS, DE REGISTRO DE IMÓVEIS, DE REGISTRO DE TÍTULOS E DOCUMENTOS, CIVIL DAS PESSOAS JURÍDICAS E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS;Certidão de Protesto;E-mail;100
Goias;Abadiânia;TABELIONATO DE NOTAS DE PROTESTO DE TÍTULOS, TABELIONATO E OFICIALATO DE REGISTRO DE CONTRATOS MARÍTIMOS(COM ATRIBUIÇÃO DE REGISTRO DE IMÓVEIS).;Certidão de Protesto;E-mail;100
Goias;Acreúna;Tabelionato de Notas e de Protestos de Títulos e Tabelionato e Oficialato de Registro de Contratos Marítimos;Certidão de Protesto;E-mail;100
Goias;Adelândia;CARTÓRIO DO DISTRITO JUD. DE ADELÂNDIA;Certidão de Protesto;E-mail;100
Goias;Água Fria de Goiás;Tabelionato de Notas e Protesto e anexos de Água Fria de Goiás;Certidão de Protesto;E-mail;100
Goias;Água Limpa;TABELIONATO DE NOTAS, DE PROTESTO DE TÍTULOS, TABELIONATO E OFICIALATO DE REGISTRO DE CONTRATOS MARÍTIMOS, REGISTRO DE IMÓVEIS, DE REGISTRO DE TÍTULOS E DOCUMENTOS, CIVIL DAS PESSOAS JURÍDICAS, CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS.;Certidão de Protesto;E-mail;100
Goias;Águas Lindas de Goiás;TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS DE ÁGUAS LINDAS DE GOIÁS;Certidão de Protesto;E-mail;100
Goias;Alexânia;Tabelionato de Notas, de Protesto de Títulos, Tabelionato e Oficialato de Registro de Contratos Marítimos de Alexânia;Certidão de Protesto;E-mail;100
Goias;Aloândia;CARTÓRIO DO 1º OFICIO DE ALOÂNDIA;Certidão de Protesto;E-mail;100
Goias;Alto Horizonte;TABELIONATO DE PROTESTO DE ALTO HORIZONTE;Certidão de Protesto;E-mail;100
Goias;Alto Paraíso de Goiás;TAB. DE NOTAS, DE PROT. DE TIT., TAB. E OFIC. DE REG.S DE CONTR. MARIT., PERTENCENTE A COMARCA DE ALTO PARAISO DE GOIAS;Certidão de Protesto;E-mail;100
Goias;Alvorada do Norte;TABELIONATO DE NOTAS PROTESTOS DE TITULOS E OFICIALATO DE REGISTRO DE CONTRATOS MARITIMOS;Certidão de Protesto;E-mail;100
