Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Maranhão;Açailândia;1º OFÍCIO EXTRAJUDICIAL DE AÇAILÂNDIA;Certidão de Protesto;E-mail;100
Maranhão;Afonso Cunha;Serventia Extrajudicial de Afonso Cunha;Certidão de Protesto;E-mail;100
Maranhão;Alcântara;SERVENTIA EXTRAJUDICIAL DE ALCÂNTARA;Certidão de Protesto;E-mail;100
Maranhão;Aldeias Altas;SERVENTIA EXTRAJUDICIAL DE ALDEIAS ALTAS;Certidão de Protesto;E-mail;100
Maranhão;Altamira do Maranhão;OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Maranhão;Alto Alegre do Maranhão;OFICIO ÚNICO DE ALTO ALEGRE DO MARANHÃO;Certidão de Protesto;E-mail;100
Maranhão;Alto Alegre do Pindaré;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ALTO ALEGRE DO PINDARÉ;Certidão de Protesto;E-mail;100
Maranhão;Alto Parnaíba;1 Ofício Extrajudicial de Alto Parnaíba;Certidão de Protesto;E-mail;100
Maranhão;Amapá do Maranhão;SERVENTIA EXTRAJUDICIAL DE AMAPA DO MARANHÃO;Certidão de Protesto;E-mail;100
Maranhão;Amarante do Maranhão;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE AMARANTE DO MARANHÃO;Certidão de Protesto;E-mail;100
Maranhão;Anajatuba;SERVENTIA EXTRAJUDICIAL DA COMARCA DE ANAJATUBA;Certidão de Protesto;E-mail;100
Maranhão;Anapurus;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANAPURUS;Certidão de Protesto;E-mail;100
Maranhão;Apicum-Açu;Serventia Extrajudicial do Ofício Único de Apicum-Açu;Certidão de Protesto;E-mail;100
Maranhão;Araguanã;CARTORIO DO OFICIO UNICO DE ARAGUANA;Certidão de Protesto;E-mail;100
Maranhão;Araióses;SERVENTIA EXTRAJUDICIAL;Certidão de Protesto;E-mail;100
Maranhão;Arame;1 OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS, PROTESTOS E REGISTROS.;Certidão de Protesto;E-mail;100
Maranhão;Arari;SERVENTIA EXTRAJUDICIAL DO 1º OFÍCIO DE ARARI;Certidão de Protesto;E-mail;100
Maranhão;Axixá;AXIXÁ CARTÓRIO DO OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Maranhão;Bacabal;NOTAS, REGISTROS DE IMÓVEIS E PROTESTOS DE LETRAS;Certidão de Protesto;E-mail;100
Maranhão;Bacabeira;SERVENTIA EXTRAJUDICIAL DE OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Bacuri;CARTÓRIO DE BACURI;Certidão de Protesto;E-mail;100
Maranhão;Balsas;CARTÓRIO DO 1º OFÍCIO DE BALSAS;Certidão de Protesto;E-mail;100
Maranhão;Barão de Grajaú;1º Ofício Extrajudicial de Barão de Grajaú;Certidão de Protesto;E-mail;100
Maranhão;Barra do Corda;1º OFICIO DE BARRA DO CORDA;Certidão de Protesto;E-mail;100
Maranhão;Barreirinhas;SERVENTIA EXTRAJUDICIAL DE BARREIRINHAS;Certidão de Protesto;E-mail;100
Maranhão;Bela Vista do Maranhão;CARTORIO AFONSO PEDRO GONÇALVES DIAS;Certidão de Protesto;E-mail;100
Maranhão;Benedito Leite;TABELIONATO DO OFICIO UNICO DE BENEDITO LEITE;Certidão de Protesto;E-mail;100
Maranhão;Bequimão;SERVENTIA EXTRAJUDICIAL DE BEQUIMÃO;Certidão de Protesto;E-mail;100
Maranhão;Bernardo do Mearim;Serventia Extrajudicial de Ofício Único de Bernardo do Mearim;Certidão de Protesto;E-mail;100
Maranhão;Boa Vista do Gurupi;Serventia Extrajudicial de Boa Vista do Gurupi;Certidão de Protesto;E-mail;100
Maranhão;Bom Jardim;1º OFÍCIO;Certidão de Protesto;E-mail;100
Maranhão;Bom Jesus das Selvas;SERVENTIA EXTRAJUDICIAL DE BOM JESUS DAS SELVAS;Certidão de Protesto;E-mail;100
Maranhão;Bom Lugar;SERVENTIA EXTRAJUDICIAL BOM LUGAR;Certidão de Protesto;E-mail;100
Maranhão;Brejo;SERVENTIA EXTRAJUDICIAL DE BREJO;Certidão de Protesto;E-mail;100
Maranhão;Brejo de Areia;CARTORIO DO OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Buriti;1º Ofício Extrajudicial de Buriti;Certidão de Protesto;E-mail;100
Maranhão;Buriti Bravo;SERVENTIA EXTRAJUDICIAL DE BURITI BRAVO;Certidão de Protesto;E-mail;100
Maranhão;Buriticupu;SERVENTIA EXTRAJUDICIAL DE BURITICUPU;Certidão de Protesto;E-mail;100
Maranhão;Buritirana;SERVENTIA EXTRAJUDICIAL DE BURITIRANA;Certidão de Protesto;E-mail;100
Maranhão;Cachoeira Grande;SERVENTIA EXTRAJUDICIAL DE CACHOEIRA GRANDE;Certidão de Protesto;E-mail;100
Maranhão;Cajapió;OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Maranhão;Cajari;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CAJARI;Certidão de Protesto;E-mail;100
Maranhão;Campestre do Maranhão;SERVENTIA EXTRAJUDICIAL DE CAMPESTRE DO MARANHÃO;Certidão de Protesto;E-mail;100
Maranhão;Cândido Mendes;SERVENTIA EXTRAJUDICIAL DE CÂNDIDO MENDES;Certidão de Protesto;E-mail;100
Maranhão;Cantanhede;CARTORIO DO OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Capinzal do Norte;SERVENTIA EXTRAJUDICIAL DE OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Carolina;1 OFICIO EXTRAJUDICIAL DE CAROLINA;Certidão de Protesto;E-mail;100
Maranhão;Carutapera;SERVENTIA EXTRAJUDICIAL DE CARUTAPERA;Certidão de Protesto;E-mail;100
Maranhão;Caxias;PROTESTO E NOTAS;Certidão de Protesto;E-mail;100
Maranhão;Cedral;Serventia Extrajudicial do Ofício Único de Cedral;Certidão de Protesto;E-mail;100
Maranhão;Centro do Guilherme;CARTÓRIO EXTRAJUDICIAL OFÍCIO ÚNICO DE CENTRO DO GUILHERME;Certidão de Protesto;E-mail;100
Maranhão;Centro Novo do Maranhão;SERVENTIA EXTRAJUDICIAL DE OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Chapadinha;1º OFÍCIO EXTRAJUDICIAL DE CHAPADINHA;Certidão de Protesto;E-mail;100
Maranhão;Cidelândia;SERVENTIA EXTRAJUDICIAL DE OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Codó;3º OFICIO EXTRAJUDICIAL;Certidão de Protesto;E-mail;100
Maranhão;Coelho Neto;PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Maranhão;Colinas;1º OFÍCIO EXTRAJUDICIAL DE COLINAS;Certidão de Protesto;E-mail;100
Maranhão;Conceição do Lago-Açu;SERVENTIA EXTRAJUDICIAL DE CONCEIÇÃO DO LAGO AÇU;Certidão de Protesto;E-mail;100
