Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Minas Gerais;Abaeté;1º Tabelionato de Protesto de Titulos - Abaeté;Certidão de Protesto;E-mail;100
Minas Gerais;Abre Campo;2º Tabelionato de Notas e Protestos de Titulos - Abre-Campo;Certidão de Protesto;E-mail;100
Minas Gerais;Açucena;1º Tabelionato de Protesto de Titulos - Acucena;Certidão de Protesto;E-mail;100
Minas Gerais;Águas Formosas;1º Tabelionato de Protesto de Titulos - Águas Formosas;Certidão de Protesto;E-mail;100
Minas Gerais;Aimorés;1º Tabelionato de Protesto de Titulos - Aimores;Certidão de Protesto;E-mail;100
Minas Gerais;Aiuruoca;1º Tabelionato de Protesto de Titulos - Aiuruoca;Certidão de Protesto;E-mail;100
Minas Gerais;Além Paraíba;1º Tabelionato de Protesto de Titulos - Alem Paraiba;Certidão de Protesto;E-mail;100
Minas Gerais;Alfenas;1º Tabelionato de Protesto de Titulos - Alfenas;Certidão de Protesto;E-mail;100
Minas Gerais;Almenara;1º Tabelionato de Protesto de Titulos - Almenara;Certidão de Protesto;E-mail;100
Minas Gerais;Alpinópolis;1º Tabelionato de Protesto de Titulos - Alpinópolis;Certidão de Protesto;E-mail;100
Minas Gerais;Alto Rio Doce;1º Tabelionato de Protesto de Titulos - Alto Rio Doce;Certidão de Protesto;E-mail;100
Minas Gerais;Alvinópolis;2º Tabelionato de Notas e Protestos de Títulos de Dívida;Certidão de Protesto;E-mail;100
Minas Gerais;Andradas;1º Tabelionato de Protesto de Titulos - Andradas;Certidão de Protesto;E-mail;100
Minas Gerais;Andrelândia;1º Tabelionato de Protesto de Titulos - Andrelandia;Certidão de Protesto;E-mail;100
Minas Gerais;Aracuí;1º Tabelionato de Protesto de Titulos - Aracuai;Certidão de Protesto;E-mail;100
Minas Gerais;Araguari;1º Tabelionato de Protesto de Titulos - Araguari;Certidão de Protesto;E-mail;100
Minas Gerais;Araxá;1º Tabelionato de Protesto de Titulos - Araxa;Certidão de Protesto;E-mail;100
Minas Gerais;Arcos;1º Tabelionato de Protesto de Titulos - Arcos;Certidão de Protesto;E-mail;100
Minas Gerais;Areado;1º Tabelionato de Protesto de Titulos - Areado;Certidão de Protesto;E-mail;100
Minas Gerais;Arinos;1º Tabelionato de Protesto de Titulos - Arinos;Certidão de Protesto;E-mail;100
Minas Gerais;Baependi;Tabelionato de Protestos de Títulos de Baependi;Certidão de Protesto;E-mail;100
Minas Gerais;Bambuí;1º Tabelionato de Protesto de Titulos - Bambui;Certidão de Protesto;E-mail;100
Minas Gerais;Barão de Cocais;Tabelionato de Protesto de Títulos da Comarca de Barão de Cocais;Certidão de Protesto;E-mail;100
Minas Gerais;Barbacena;1º Tabelionato de Protesto de Titulos - Barbacena;Certidão de Protesto;E-mail;100
Minas Gerais;Barroso;TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE BARROSO;Certidão de Protesto;E-mail;100
Minas Gerais;Belo Horizonte;1º Tabelionato de Protesto de Titulos - Belo Horizonte;Certidão de Protesto;E-mail;100
Minas Gerais;Belo Horizonte;2º Tabelionato de Protesto de Titulos - Belo Horizonte;Certidão de Protesto;E-mail;100
Minas Gerais;Belo Horizonte;3º Tabelionato de Protesto de Titulos - Belo Horizonte;Certidão de Protesto;E-mail;100
