Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Mato Grosso do Sul;Água Clara;SERVICO NOTARIAL E TABELIONATO DE PROTESTO DE AGUA CLARA;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Amambai;SERVICO NOTARIAL E TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Anastácio;SERVIÇO NOTARIAL E TABELIONATO DE PROTESTO DE ANASTÁCIO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Anaurilândia;ANAURILANDIA - PRIMEIRO TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Angélica;ANGELICA - OFÍCIO DE REGISTRO IMÓVEIS E TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Aparecida do Taboado;APARECIDA DO TABOADO - SERVIÇO DE REGISTROS DE IMÓVEIS, TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Aquidauana;1 SERVIÇO NOTARIAL E DE TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Bandeirantes;BANDEIRANTES - OFICIO DO REGISTRO DE IMOVEIS, TABELIONATO DE PROTESTOS E ANEXOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Bataguassu;PRIMEIRO SERVIÇO NOTARIAL E TABELIONATO DE PROTESTOS E TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Batayporã;SERVIÇO NOTARIAL E TABELIONATO DE PROTESTO DE TITULOS E OUTROS DOCUMENTOS DE DIVIDA DE BATAYPORA;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Bela Vista;SERVIÇO NOTARIAL E DE TABELIONATO DE PROTESTO DE TÍTULO E OUTROS DOCUMENTOS DE DÍVIDA;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Bonito;BONITO - 1 OFICIO DO REGISTRO DE IMOVEIS, TITULOS E DOCUMENTOS, CIVIL DE PESSOAS JURIDICAS E PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Brasilândia;BRASILANDIA - 1 OFÍCIO DE REGISTRO PÚBLICO E DE PROTESTO DE TÍTULOS CAMBIAIS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Caarapó;CAARAPÓ - OFÍCIO DE REGISTROS PÚBLICOS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Camapuã;CAMAPUÃ - SERVICO NOTARIAL E DE TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Campo Grande;2º OFÍCIO DE PROTESTO CAMPO GRANDE;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Campo Grande;3º SERVIÇO DE TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Campo Grande;CARTORIO DO 1 OFICIO DE PROTESTOS CAMPO GRANDE;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Cassolândia;CASSILANDIA - 1º TABELIONATO DE NOTAS E OFÍCIO DE REGISTROS DE IMÓVEIS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Chapadão do Sul;CHAPADÃO DO SUL - OFÍCIO DO REGISTRO DE IMOVEIS, TITULOS E DOCUMENTOS E PESSOAS JURIDICAS E PROTESTOS DE TÍTULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Corumbá;3º SERVIÇO NOTARIAL E TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE CORUMBA;Certidão de Protesto;E-mail;100
