Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Mato Grosso;Água Boa;OFICIO DO REGISTRO CIVIL, PESSOAS JURIDICAS E 2º TABELINATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Alta Floresta;2º TABELIONATO DE NOTAS, PROTESTOS, OFICIO DE REGISTRO CIVIL E ANEXOS;Certidão de Protesto;E-mail;100
Mato Grosso;Alto Araguaia;CARTORIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Mato Grosso;Alto Garças; 2º SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Mato Grosso;Alto Taquari;TABELIONATO MEDEIROS;Certidão de Protesto;E-mail;100
Mato Grosso;Apiacás;OFICIO DO REGISTRO CIVIL E  TABELINATO DE NOTAS E PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso;Araputanga;CARTORIO HENRIQUE PEIXOTO RIBEIRO CAMPOS;Certidão de Protesto;E-mail;100
Mato Grosso;Arenápolis;SEGUNDO SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Mato Grosso;Aripuanã;CARTORIO DO 2º OFICIO DE ARAPUANÃ;Certidão de Protesto;E-mail;100
Mato Grosso;Barra do Bugres;SEGUNDO SERVIÇO NOTARIAL E REGISTRAL DE BARRA DO BUGRES;Certidão de Protesto;E-mail;100
Mato Grosso;Barra do Garças;CARTORIO DO 2º OFICIO DE BARRA DO GARÇAS;Certidão de Protesto;E-mail;100
Mato Grosso;Brasnorte;CARTORIO DO 2º OFICIO DE BRASNORTE;Certidão de Protesto;E-mail;100
Mato Grosso;Cáceres; 2º OFICIO DE NOTAS E PROTESTOS DE CARCERES;Certidão de Protesto;E-mail;100
Mato Grosso;Campinápolis;CARTORIO DO 2º OFICIO EXTRAJUDICIAL;Certidão de Protesto;E-mail;100
Mato Grosso;Campo Novo do Parecis;CAMPO NOVO DOS PARECIS CARTORIO DO REGISTRO CIVIL E ANEXOS;Certidão de Protesto;E-mail;100
Mato Grosso;Campo Verde;OFICIO DO REGISTRO CIVIL E 2º TABELINATO DE NOTAS, PROTESTOS E CIVIL DE PESSOAS JURIDICAS;Certidão de Protesto;E-mail;100
Mato Grosso;Canarana;TABELIONATO DE NOTAS E DE PROTESTOS  E REGISTRO CIVIL DAS PESSOAS NATURAIS E JURIDICAS;Certidão de Protesto;E-mail;100
Mato Grosso;Chapada dos Guimarães; 2º SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Mato Grosso;Cláudia;CARTORIO DO 2º OFICIO DE CLAUDIA;Certidão de Protesto;E-mail;100
Mato Grosso;Colíder; 2º OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Colniza;CARTORIO DO SEGUNDO OFICIO DE COLNIZA;Certidão de Protesto;E-mail;100
Mato Grosso;Comodoro; 2º OFICIO DO REGISTRO CIVIL, PESSOAS JURIDICAS, TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Cotriguaçu; 2º OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS, PROTESTOS E ANEXOS;Certidão de Protesto;E-mail;100
Mato Grosso;Cuiabá;QUARTO TABELIAO DE NOTAS E OFICIAL DO REGISTRO DE PROTESTO DE TITULOS MERCANTIS DA COMARCA DE CUIABA;Certidão de Protesto;E-mail;100
Mato Grosso;Diamantino;SEGUNDO SERVIÇO NOTARIAL E REGISTRAL CAPISTRANO;Certidão de Protesto;E-mail;100
Mato Grosso;Dom Aquino; 2º OFICIO DE REGISTRO DE IMOVEIS E ANEXOS;Certidão de Protesto;E-mail;100
Mato Grosso;Feliz Natal; 2º OFICIO EXTRAJUDICIAL DE FELIZ NATAL;Certidão de Protesto;E-mail;100
Mato Grosso;Guarantã do Norte;GUARATÃ CARTORIO DE PAZ;Certidão de Protesto;E-mail;100
Mato Grosso;Guiratinga; 2º SERVIÇO NOTARIAL, PROTESTO DE TITULOS MERCANTIS E REGISTRO CIVIL DAS PESSOAS NATURAIS;Certidão de Protesto;E-mail;100
Mato Grosso;Itaúba;CARTORIO DO SEGUNDO OFICIO ;Certidão de Protesto;E-mail;100
Mato Grosso;Itiquira; 2º OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100
Mato Grosso;Jaciara; 2º OFICIO DO REGISTRO CIVIL, REG DE PESSOAS JURIDICAS E TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Jauru;CARTORIO RICARDO FABRICIO SEGANFREDO;Certidão de Protesto;E-mail;100
Mato Grosso;Juara;SEGUNDO SERVIÇO NOTARIAL E REGISTRAL DE JUARA;Certidão de Protesto;E-mail;100
Mato Grosso;Juína; 2º SERVIÇO NOTARIAL E REGISTRAL DE JUINA;Certidão de Protesto;E-mail;100
Mato Grosso;Juscimeira; 2º OFICIO DE JUSCIMEIRA;Certidão de Protesto;E-mail;100
Mato Grosso;Lucas do Rio Verde;OFICIO DO REGISTRO CIVIL E  TABELINATO DE NOTAS E PROTESTOS ;Certidão de Protesto;E-mail;100
Mato Grosso;Marcelândia;MARCELANDIA CARTORIO DO 2º OFICIO DE NOTAS;Certidão de Protesto;E-mail;100
Mato Grosso;Matupá;OFICIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E ANEXOS;Certidão de Protesto;E-mail;100
Mato Grosso;Mirassol d'Oeste;TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Nobres;2º OFICIO DE NOBRES;Certidão de Protesto;E-mail;100
Mato Grosso;Nortelândia;SEGUNDO SERVIÇO NOTARIAL E REGISTRAL DE NORTELANDIA;Certidão de Protesto;E-mail;100
Mato Grosso;Nova Canaã do Norte;CARTORIO DO 2º OFICIO DE NOVA CANAÃ DO NORTE;Certidão de Protesto;E-mail;100
Mato Grosso;Nova Monte Verde;OFICIO DO REGISTRO CIVIL,  PESSOAS JURIDICAS E TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Nova Mutum;CARTORIO DO  2º OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100
Mato Grosso;Nova Ubiratã;CARTORIO DO 2º OFICIO DE NOVA UBIRATÃ;Certidão de Protesto;E-mail;100
Mato Grosso;Nova Xavantina; 2º OFICIO EXTRAJUDICIAL DE NOVA XAVANTINA;Certidão de Protesto;E-mail;100
Mato Grosso;Novo São Joaquim;CARTORIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Mato Grosso;Paranaíta; 2º OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100
Mato Grosso;Paranatinga; 2º SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Mato Grosso;Pedra Preta;SEGUNDO TABELIONATO DE NOTAS E DE PROTESTOS E PESSOAS JURIDICAS;Certidão de Protesto;E-mail;100
Mato Grosso;Peixoto de Azevedo;CARTORIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Mato Grosso;Poconé; 1º SERVIÇO NOTARIAL E REGISTRAL DE POCONE;100;E-mail;100
Mato Grosso;Poconé;CARTORIO DO 2º OFICIO DA COMARCA DE POCONE;Certidão de Protesto;E-mail;100
Mato Grosso;Pontes e Lacerda;SEGUNDO TABELIONATO DE NOTAS, PROTESTOS, REGISTRO CIVIL DE PONTES E LACERDA;Certidão de Protesto;E-mail;100
Mato Grosso;Porto Alegre do Norte; 2º SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Mato Grosso;Porto dos Gaúchos;SEGUNDO SERVIÇO NOTARIAL E REGISTRAL DE PORTO DOS GAUCHOS;Certidão de Protesto;E-mail;100
Mato Grosso;Porto Esperidião;CARTORIO DE PAZ PORTO ESPERIDIÃO;Certidão de Protesto;E-mail;100
Mato Grosso;Poxoréu;SEGUNDO TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Primavera do Leste;CARTORIO DO SEGUNDO OFICIO DE PRIMAVERA DO LESTE;Certidão de Protesto;E-mail;100
Mato Grosso;Querência; 2º OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100
Mato Grosso;Ribeirão Cascalheira;CARTORIO DO 2º OFICIO DE RIBEIRÃO CASCALHEIRA;Certidão de Protesto;E-mail;100
Mato Grosso;Rio Branco; 2º OFICIO DE SERVIÇO DE RIO BRANCO;Certidão de Protesto;E-mail;100
Mato Grosso;Rondonópolis;4º TABELIONATO DE NOTAS E PRIVATIVO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso;Rosário Oeste;OFICIO DO REGISTRO CIVIL E  2º TABELINATO DE NOTAS E PROTESTOS ;Certidão de Protesto;E-mail;100
Mato Grosso;Santo Antônio de Leverger; 2º SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Mato Grosso;São Félix do Araguaia; 2º OFICIO;Certidão de Protesto;E-mail;100
Mato Grosso;São José do Rio Claro;CARTORIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Mato Grosso;São José dos Quatro Marcos;CARTORIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Mato Grosso;Sapezal; 2º OFICIO DE SAPEZAL;Certidão de Protesto;E-mail;100
Mato Grosso;Sinop;CARTORIO DO 2º OFICIO EXTRAJUDICIAL;Certidão de Protesto;E-mail;100
Mato Grosso;Sorriso; 2º OFICIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS E ANEXOS;Certidão de Protesto;E-mail;100
Mato Grosso;Tabaporã; 2º OFICIO EXTRAJUDICIAL TABAPORÃ;Certidão de Protesto;E-mail;100
Mato Grosso;Tangará da Serra; 2º OFICIO DE TANGARA DA SERRA;Certidão de Protesto;E-mail;100
Mato Grosso;Tapurah;CARTORIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Mato Grosso;Terra Nova do Norte; 2º OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso;Várzea Grande; 1º TABELIONATO DE NOTAS E PROTESTOS E OFICIOS DE REGISTROS PUBLICOS;Certidão de Protesto;E-mail;100
Mato Grosso;Várzea Grande; 2º OFICIO NOTARIAL E REGISTRAL DA COMARCA DE VARZEA GRANDE ;Certidão de Protesto;E-mail;100
Mato Grosso;Vera;2º OFICIO EXTRAJUDICIAL DE VERA;Certidão de Protesto;E-mail;100
Mato Grosso;Vila Bela da Santíssima Trindade;OFICIO DO REGISTRO CIVIL E  TABELINATO DE NOTAS E PROTESTOS ;Certidão de Protesto;E-mail;100
Mato Grosso;Vila Rica;2º TABELIONATO DE NOTAS E PROTESTOS E ANEXOS;Certidão de Protesto;E-mail;100
