Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Para;Abaetetuba;O COUTINHO 2? OFICIO DE TITULOS E DOCUMENTOS, PROTESTO E NOTAS;Certidão de Protesto;E-mail;100
Para;Acara;CARTÓRIO DO ÚNICO OFICIO DE ACARÁ;Certidão de Protesto;E-mail;100
Para;Afua;ÚNICO OFÍCIO DE AFUÁ - CARTÓRIO BRAZÃO;Certidão de Protesto;E-mail;100
Para;Alenquer;Cartório do Único Ofício de Alenquer;Certidão de Protesto;E-mail;100
Para;Almeirim;CARTÓRIO DO 1° OFÍCIO DE MONTE DOURADO;Certidão de Protesto;E-mail;100
Para;Almeirim;CARTÓRIO ÚNICO OFÍCIO DE ALMEIRIM;Certidão de Protesto;E-mail;100
Para;Altamira;TABELIONATO DO 2 OFICIO DE NOTAS;Certidão de Protesto;E-mail;100
Para;Anajas;CARTÓRIO GUIMARÃES UNICO OFICIO DA COMARCA DE ANAJÁS;Certidão de Protesto;E-mail;100
Para;Ananindeua;2º Tabelionato de Notas, Protestos e RCPN de Ananindeua - CARTORIO TRIGUEIRO;Certidão de Protesto;E-mail;100
Para;Ananindeua;CARTÓRIO DO 1º OFÍCIO DE NOTAS E PROTESTO DE TÍTULOS DE ANANINDEUA;Certidão de Protesto;E-mail;100
Para;Anapu;CARTÓRIO DO ÚNICO OFÍCIO (SEDE);Certidão de Protesto;E-mail;100
Para;Augusto Correa;CARTÓRIO RABELO;Certidão de Protesto;E-mail;100
Para;Aurora do Pará;Cartório do Único Ofício de Aurora do Pará;Certidão de Protesto;E-mail;100
Para;Bagre;CARTORIO ALAN ALEX FARIAS TEIXEIRA;Certidão de Protesto;E-mail;100
Para;Baião;CARTORIO DO ÚNICO OFÍCIO DE BAIÃO;Certidão de Protesto;E-mail;100
Para;Barcarena;CARTÓRIO DE PROTESTO E TÍTULOS E DOCUMENTOS - BARCARENA;Certidão de Protesto;E-mail;100
Para;Belém;3º TABELIONATO DE PROTESTO DE TÍTULOS E DOCUMENTOS DE BELÉM;Certidão de Protesto;E-mail;100
Para;Belém;CARTORIO DO 1 OFICIO DE PROTESTO DE BELEM;Certidão de Protesto;E-mail;100
Para;Belém;TABELIONATO DE PROTESTO II OFÍCIO MOURA PALHA;Certidão de Protesto;E-mail;100
Para;Benevides;CARTORIO DO UNICO OFICIO DE BENEVIDES;Certidão de Protesto;E-mail;100
Para;Bom Jesus do Tocantins;SERVIÇO NOTARIAL E DE REGISTRO TABELIONATO XAVIER SANTOS;Certidão de Protesto;E-mail;100
Para;Bonito;SERVENTIA DO ÚNICO OFÍCIO - SEDE (CARTÓRIO DE BONITO);Certidão de Protesto;E-mail;100
Para;Brasil Novo;CARTORIODO UNICO OFICIO DE BRASIL NOVO;Certidão de Protesto;E-mail;100
Para;Brejo Grande do Araguaia;OFÍCIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100
Para;Breu Branco;Cartório Oficio Único;Certidão de Protesto;E-mail;100
Para;Breves;CARTÓRIO DO 2º OFÍCIO DE BREVES;Certidão de Protesto;E-mail;100
Para;Bujarú;Cartório do Único Ofício de Bujarú;Certidão de Protesto;E-mail;100
Para;Cachoeira do Arari;CARTORIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Para;Cameta;CARTORIO DO 2º OFICIO DE CAMETÁ;Certidão de Protesto;E-mail;100
Para;Canaã dos Carajás;1º Tabelionato de Protesto de Títulos;Certidão de Protesto;E-mail;100
Para;Capanema;1º CARTÓRIO DE NOTAS E PROTESTO DE TÍTULOS DE CAPANEMA;Certidão de Protesto;E-mail;100
Para;Capitão Poço;CARTÓRIO DO ÚNICO OFÍCIO DE CAPITÃO POÇO;Certidão de Protesto;E-mail;100
Para;Castanhal;TABELIONATO FREIRE DA SILVA;Certidão de Protesto;E-mail;100
Para;Chaves;SERVIÇO NOTORIAL REGISTRAL CONCEIÇÃO;Certidão de Protesto;E-mail;100
Para;Conceição do Araguaia;1º OFÍCIO DE REGISTRO CIVIL DE PESSOAS NATURAIS, DE REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E DE REGISTRO DE IMÓVEIS;Certidão de Protesto;E-mail;100
Para;Concórdia do Pará;CARTORIO DE NASCIMENTO CASAMENTO E OBITO VALDETE DO CARMO;Certidão de Protesto;E-mail;100
Para;Cumaru do Norte;SERVENTIA EXTRAJUDICIAL DO CARTÓRIO DE CUMARU DO NORTE;Certidão de Protesto;E-mail;100
