Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Paraiba;Água Branca;CARTORIO MARCAL LEITE;Certidão de Protesto;E-mail;100
Paraiba;Alagoa Grande;ALAGOA GRANDE CARTORIO DE OFICIO DE NOTAS;Certidão de Protesto;E-mail;100
Paraiba;Alagoa Nova;TABELIONATO ALÍPIO BEZERRA;Certidão de Protesto;E-mail;100
Paraiba;Alagoinha;CARTÓRIO DE UNICO OFICIO DE NOTAS;Certidão de Protesto;E-mail;100
Paraiba;Alhandra;CARTORIO CLAUDIA MARQUES SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Paraiba;Araçagi;Serviço Notarial e Registral de Araçagi;Certidão de Protesto;E-mail;100
Paraiba;Arara;TABELIONATO DE NOTAS E ANEXOS;Certidão de Protesto;E-mail;100
Paraiba;Araruna;CARTORIO MARTINS DE SOUSA;Certidão de Protesto;E-mail;100
Paraiba;Aroeiras;TABELIONATO DE NOTAS E ANEXOS;Certidão de Protesto;E-mail;100
Paraiba;Bananeiras;CARTÓRIO ARAUJO;Certidão de Protesto;E-mail;100
Paraiba;Barra de Santa Rosa;Silveira Borges - SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Paraiba;Bayeux;1º TABELIONATO DE NOTAS E ANEXOS;Certidão de Protesto;E-mail;100
Paraiba;Belém;TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Paraiba;Bonito de Santa Fé;TABELIONATO DE NOTAS E DE PROTESTO DE TIT E OFICIO DE REG DE IMOVEIS, DE TIT E DOC E CIVIL DAS PESSOAS JURID DO MUNIC DE BONITO DE SANTA FÉ;Certidão de Protesto;E-mail;100
Paraiba;Boqueirão;CARTÓRIO DELMIRO SANTANA;Certidão de Protesto;E-mail;100
Paraiba;Brejo do Cruz;CARTÓRIO RODRIGUES;Certidão de Protesto;E-mail;100
Paraiba;Caaporã;CARTORIO J & C RIOS;Certidão de Protesto;E-mail;100
Paraiba;Cabedelo;CABEDELO CARTORIO DE PROT E REG DE TITULOS E DOCUMENTOS;Certidão de Protesto;E-mail;100
Paraiba;Cacimba de Dentro;TABELIONATO DE NOTAS, PROTESTO DE TÍTULOS, REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS;Certidão de Protesto;E-mail;100
Paraiba;Caiçara;1º TABELIONATO DE NOTAS E ANEXOS (CARTÓRIO LOPES);Certidão de Protesto;E-mail;100
Paraiba;Cajazeiras;CARTORIO ANTONIO HOLANDA;Certidão de Protesto;E-mail;100
Paraiba;Campina Grande;1º TABELIONATO DE PROTESTO DE TITULOS E 1º OFICIO DE REGISTRO DE IMOVEIS DE CAMPINA GRANDE - PB;Certidão de Protesto;E-mail;100
Paraiba;Catolé do Rocha;1º TABELIONATO DE NOTAS E ANEXOS;Certidão de Protesto;E-mail;100
Paraiba;Conceição;TABELIONATO DE NOTAS E ANEXOS;Certidão de Protesto;E-mail;100
