Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Pernanbuco;Abreu e Lima;SERVENTIA NOTARIAL DE ABREU E LIMA;Certidão de Protesto;E-mail;100
Pernanbuco;Afogados da Ingazeira;TABELIONATO DE NOTAS E PROTESTOS DE AFOGADOS DA INGAZEIRA;Certidão de Protesto;E-mail;100
Pernanbuco;Afogados da Ingazeira;TABELIONATO DE NOTAS, PROTESTO E OFÍCIO DE REGISTROS PÚBLICOS;Certidão de Protesto;E-mail;100
Pernanbuco;Afrânio;CARTÓRIO DO REGISTRO GERAL DE IMÓVEIS E NOTAS E DEMAIS ANEXO;Certidão de Protesto;E-mail;100
Pernanbuco;Agrestina;SERVENTIA REGISTRAL E NOTARIAL;Certidão de Protesto;E-mail;100
Pernanbuco;Água Preta;TABELIONATO DE NOTAS, PROTESTO E OFÍCIO DE REGISTROS PÚBLICOS;Certidão de Protesto;E-mail;100
Pernanbuco;Águas Belas;SERVENTIA NOTARIAL E REGISTRAL DE AGUAS BELAS;Certidão de Protesto;E-mail;100
Pernanbuco;Aliança;SERVIÇO NOTARIAL E REGISTRAL - CARTÓRIO ÚNICO;Certidão de Protesto;E-mail;100
Pernanbuco;Altinho;OFÍCIO ÚNICO DA COMARCA DE ALTINHO;Certidão de Protesto;E-mail;100
Pernanbuco;Amaraji;SERVENTIA REGISTRAL E NOTARIAL DE AMARAJI;Certidão de Protesto;E-mail;100
Pernanbuco;Angelim;SERVENTIA NOTARIAL E REGISTRAL DE ANGELIM;Certidão de Protesto;E-mail;100
Pernanbuco;Araripina;CARTÓRIO DO SEGUNDO OFICIO;Certidão de Protesto;E-mail;100
Pernanbuco;Arcoverde;CARTORIO DE SEGUNDO OFICIO DE ARCOVERDE;Certidão de Protesto;E-mail;100
Pernanbuco;Barra de Guabiraba;SERVENTIA REGISTRAL E NOTARIAL;Certidão de Protesto;E-mail;100
Pernanbuco;Barreiros;BARREIROS CARTÓRIO DO 2º OFICIO;Certidão de Protesto;E-mail;100
Pernanbuco;Belém de Maria;SERVENTIA REGISTRAL E NOTARIAL DE BELÉM DE MARIA;Certidão de Protesto;E-mail;100
Pernanbuco;Belém do são Francisco;CARTÓRIO ÚNICO DE BELÉM DO SÃO FRANCISCO;Certidão de Protesto;E-mail;100
Pernanbuco;Belo Jardim;Cartório Virgínio Dias;Certidão de Protesto;E-mail;100
Pernanbuco;Betânia;CARTORIO DE NOTAS E REGISTROS DE BETÂNIA ;Certidão de Protesto;E-mail;100
Pernanbuco;Bezerros;BEZERROS CARTÓRIO DO 2.º OFICIO;Certidão de Protesto;E-mail;100
Pernanbuco;Bodocó;CARTORIO UNICO DE IMOVEIS NOTAS E ANEXO;Certidão de Protesto;E-mail;100
Pernanbuco;Bom Conselho;SERVENTIA NOTARIAL E REGISTRAL - BOM CONSELHO;Certidão de Protesto;E-mail;100
Pernanbuco;Bom Jardim;Cartorio Sergio Vasconcelos;Certidão de Protesto;E-mail;100
Pernanbuco;Bom Jardim;SERVENTIA NOTARIAL DE BOM JARDIM;Certidão de Protesto;E-mail;100
Pernanbuco;Bonito;SERVENTIA NOTARIAL E REGISTRAL DE BONITO;Certidão de Protesto;E-mail;100
Pernanbuco;Brejão;Serventia Registral e notarial de Brejão;Certidão de Protesto;E-mail;100
Pernanbuco;Brejo da Madre de Deus;SERVENTIA NOTARIAL E REGISTRAL DE BREJO DA MADRE DE DEUS;Certidão de Protesto;E-mail;100
Pernanbuco;Buenos Aires;SERVENTIA NOTARIAL E REGISTRAL DE BUENOS AIRES;Certidão de Protesto;E-mail;100
Pernanbuco;Buíque;Cartório único da comarca de Buique;Certidão de Protesto;E-mail;100
Pernanbuco;Cabo de Santo Agostinho;2ª SERVENTIA NOTARIAL DE CABO DE SANTO AGOSTINHO;Certidão de Protesto;E-mail;100
Pernanbuco;Cabo de Santo Agostinho;SERVENTIA NOTARIAL;Certidão de Protesto;E-mail;100
Pernanbuco;Cabrobó;SERVENTIA NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Pernanbuco;Cachoeirinha;CARTÓRIO ÚNICO DIVA VALENÇA DE MELO;Certidão de Protesto;E-mail;100
Pernanbuco;Caetés;CAETES CARTORIO DO UNICO OFICIO;Certidão de Protesto;E-mail;100
Pernanbuco;Calçado;TABELIONATO DE PROTESTO CALÇADO;Certidão de Protesto;E-mail;100
Pernanbuco;Calumbi;SERVIÇO REGISTRAL E NOTARIAL DE CALUMBI;Certidão de Protesto;E-mail;100
Pernanbuco;Camaragibe;CARTORIO EVA TENORIO DE BRITO;Certidão de Protesto;E-mail;100
Pernanbuco;Camocim de São Felix;CAMOCIM DE SO FLIX CARTORIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS-SEDE;Certidão de Protesto;E-mail;100
Pernanbuco;Camutanga;CARTÓRIO NOTARIAL E REGISTRAL DE CAMUTANGA;Certidão de Protesto;E-mail;100
Pernanbuco;Canhotinho;SERVENTIA REGISTRAL E NOTARIAL SEDE CANHOTINHO;Certidão de Protesto;E-mail;100
Pernanbuco;Capoeiras;CARTÓRIO DO ÚNICO OFÍCIO CAPOEIRAS;Certidão de Protesto;E-mail;100
Pernanbuco;Carnaíba;CARTORIO UNICO DE NOTAS E REGISTROS PUBLICOS;Certidão de Protesto;E-mail;100
Pernanbuco;Carpina;SERVENTIA NOTARIAL DE CARPINA;Certidão de Protesto;E-mail;100
Pernanbuco;Caruaru;1 CARTÓRIO DE PROTESTOS;Certidão de Protesto;E-mail;100
Pernanbuco;Caruaru;3 SERVIÇO NOTARIAL E DE PROTESTO DE CARUARU;Certidão de Protesto;E-mail;100
Pernanbuco;Caruaru;CARUARU CARTORIO DO 2 OFICIO NOTAS;Certidão de Protesto;E-mail;100
Pernanbuco;Casinhas;SERVENTIA REGISTRAL E NOTARIAL DE CASINHAS;Certidão de Protesto;E-mail;100
