Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor;
Piaui;Agricolândia;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE AGRICOLANDIA;Certidão de Protesto;E-mail;100;
Piaui;Água Branca;CARTORIO MARIANA DE FREITAS TAPETY RAULINO;Certidão de Protesto;E-mail;100;
Piaui;Alagoinha do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE ALAGOINHA DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Alto Longá;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO;Certidão de Protesto;E-mail;100;
Piaui;Altos;CARTORIO DO 2º OFICIO DE ALTOS;Certidão de Protesto;E-mail;100;
Piaui;Amarante;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO;Certidão de Protesto;E-mail;100;
Piaui;Angical do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE ANGICAL DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Anísio de Abreu;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE ANISIO DE ABREU;Certidão de Protesto;E-mail;100;
Piaui;Antônio Almeida;SERVENTIA EXTRAJUDICIAL  - CARTORIO DE OFICIO UNICO DE ANTONIO ALMEIDA;Certidão de Protesto;E-mail;100;
Piaui;Aroazes;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE AROAZES;Certidão de Protesto;E-mail;100;
Piaui;Avelino Lopes;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE AVELINO LOPES;Certidão de Protesto;E-mail;100;
Piaui;Barras; 2º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE BARRAS;Certidão de Protesto;E-mail;100;
Piaui;Barreiras do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE BARREIRAS DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Batalha;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE BATALHA;Certidão de Protesto;E-mail;100;
Piaui;Beneditinos;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE BENEDITINOS;Certidão de Protesto;E-mail;100;
Piaui;Bertolínia;1º OFICIO DE BERTOLINIA;Certidão de Protesto;E-mail;100;
Piaui;Bom Jesus; 2º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE NOTAS E PROTESTOS DE BOM JESUS;Certidão de Protesto;E-mail;100;
Piaui;Buriti dos Lopes;CARTORIO DO 1º OFICIO DE BURITI DOS LOPES;Certidão de Protesto;E-mail;100;
Piaui;Cabeceiras do Piauí;CARTORIO UNICO DE CABECEIRAS DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Campinas do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE CAMPINAS DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Campo Maior; 2º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE CAMPO MAIOR;Certidão de Protesto;E-mail;100;
Piaui;Canto do Buriti;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE CANTO DO BURITI;100;E-mail;100;
Piaui;Capitão de Campos;SERVENTIA EXTRAJUDICIAL DE CAPITÃO DE CAMPOS;Certidão de Protesto;E-mail;100;
Piaui;Caracol;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE CARACOL;Certidão de Protesto;E-mail;100;
Piaui;Castelo do Piauí;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO CASTELO DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Cocal; 2º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE COCAL;Certidão de Protesto;E-mail;100;
Piaui;Cocal;CARTORIO DO 1º OFICIO DE COCAL;Certidão de Protesto;E-mail;100;
Piaui;Conceição do Canindé;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO;Certidão de Protesto;E-mail;100;
Piaui;Corrente;CARTORIO DO 2º OFICIO DE NOTAS E REGISTROS;Certidão de Protesto;E-mail;100;
Piaui;Cristalândia do Piauí;CARTORIO OSVALDA ASCENSO DE SOUZA;Certidão de Protesto;E-mail;100;
Piaui;Cristino Castro;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE CRISTINO CASTRO;Certidão de Protesto;E-mail;100;
Piaui;Curimatá;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE CURIMATA;Certidão de Protesto;E-mail;100;
Piaui;Demerval Lobão;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE DEMERVAL LOBÃO;Certidão de Protesto;E-mail;100;
Piaui;Dom Expedito Lopes;OFICIO UNICO DE DOM EXPEDITO LOPES;Certidão de Protesto;E-mail;100;
Piaui;Elesbão Veloso;PRIMEIRA SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE ELESBÃO VELOSO;Certidão de Protesto;E-mail;100;
Piaui;Eliseu Martins;OFICIO UNICO DE ELISEU MARTINS;Certidão de Protesto;E-mail;100;
Piaui;Esperantina; 2º SERVENTIA EXTRAJUDICIAL DE TABELIONATO DE ESPERANTINA ;Certidão de Protesto;E-mail;100;
Piaui;Esperantina;CARTORIO DO 1º OFICIO DE ESPERANTINA;;;100;
Piaui;Floriano; 3º SERVENTIA EXTRAJUDICIAL DE FLORIANO;Certidão de Protesto;E-mail;100;
Piaui;Floriano;CARTORIO DO 2º OFICIO DE FLORIANO;Certidão de Protesto;E-mail;100;
Piaui;Francisco Ayres;VITOR DA SILVA TELES CARTORIO UNICO;Certidão de Protesto;E-mail;100;
Piaui;Francisco Santos;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE FRANCISCO SANTOS;Certidão de Protesto;E-mail;100;
Piaui;Fronteiras;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE FRONTEIRAS;Certidão de Protesto;E-mail;100;
Piaui;Gilbués;CARTORIO UNICO DE GILBUES;Certidão de Protesto;E-mail;100;
Piaui;Guadalupe;OFICIO UNICO DE GUADALUPE;Certidão de Protesto;E-mail;100;
Piaui;Inhuma;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE INHUMA;Certidão de Protesto;E-mail;100;
Piaui;Ipiranga do Piauí;OFICIO UNICO DE IPIRANGA DO PIAUI;Certidão de Protesto;E-mail;100;
Piaui;Isaías Coelho;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE ISAIAS COELHO;Certidão de Protesto;E-mail;100;
Piaui;Itainópolis;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE ITAINOPOLIS;Certidão de Protesto;E-mail;100;
Piaui;Itaueira;CARTORIO DO 1º OFICIO DE ITAUEIRA;Certidão de Protesto;E-mail;100;
Piaui;Jaicós;CARTORIO DO 2º OFICIO DE JAICOS;Certidão de Protesto;E-mail;100;
Piaui;Jaicós;CARTORIO DO 1º OFICIO E REGISTRO DE IMOVEIS DE JAICOS;Certidão de Protesto;E-mail;100;
Piaui;Jerumenha;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE JURUMENHA;Certidão de Protesto;E-mail;100;
Piaui;Joaquim Pires;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE JOAQUIM PIRES;Certidão de Protesto;E-mail;100;
Piaui;José de Freitas;CARTORIO DO 1º OFICIO DE JOSE DE FREITAS;Certidão de Protesto;E-mail;100;
Piaui;José de Freitas;SERVENTIA EXTRAJUDICIAL DO  2º OFICIO DE JOSE DE FREITAS;Certidão de Protesto;E-mail;100;
Piaui;Landri Sales;SERVENTIA EXTRAJUDICIAL - CARTORIO DO OFICIO UNICO DE LANDRI SALES;Certidão de Protesto;E-mail;100;
Piaui;Luís Correia;1º SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE LUIS CORREIA;Certidão de Protesto;E-mail;100;
Piaui;Luís Correia;CARTORIO DO 2º OFICIO DE LUIS CORREIA;Certidão de Protesto;E-mail;100;
Piaui;Luzilândia;CARTORIO DO OFICIO UNICO DE LUZILANDIA;Certidão de Protesto;E-mail;100;
Piaui;Manoel Emídio;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE MANOEL EMIDIO;Certidão de Protesto;E-mail;100;
Piaui;Marcolândia;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE MARCOLANDIA;Certidão de Protesto;E-mail;100;
Piaui;Marcos Parente;SERVENTIA EXTRAJUDICIAL - CARTORIO DO OFICIO UNICO DE MARCOS PARENTE;Certidão de Protesto;E-mail;100;
Piaui;Matias Olímpio;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE MATIAS OLIMPIO;Certidão de Protesto;E-mail;100;
Piaui;Miguel Alves;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE MIGUEL ALVES;Certidão de Protesto;E-mail;100;
Piaui;Miguel Leão;CARTORIO UNICO DE MIGUEL LEÃO;Certidão de Protesto;E-mail;100;
Piaui;Monsenhor Gil;SERVENTIA EXTRAJUDICIAL DO OFICIO DE MONSENHOR GIL;Certidão de Protesto;E-mail;100;
Piaui;Monsenhor Hipólito;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE MONSENHOR HIPOLITO;Certidão de Protesto;E-mail;100;
Piaui;Monte Alegre do Piauí;CARTORIO DO OFICIO UNICO DE MONTE ALEGRE DO PIAUI;Certidão de Protesto;E-mail;100;
