Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Parana;Almirante Tamandaré;TABELIONATO DE PROTESTO DE TITULOS DO FORO REGIONAL DE ALMIRANTE TAMANDARÉ - COMARCA DA REGIÃO METROPOLITANA DE CURITIBA;Certidão de Protesto;E-mail;100
Parana;Alto Paraná;Tabelionato de Protesto de Títulos e Documentos;Certidão de Protesto;E-mail;100
Parana;Alto Piquiri;TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Parana;Altônia;SERVIÇO NOTARIAL E REGISTRAL DE PROTESTOS;Certidão de Protesto;E-mail;100
Parana;Ampére;TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Parana;Andira;CARTÓRIO DE NOTAS E PROTESTO DE ANDIRÁ;Certidão de Protesto;E-mail;100
Parana;Antonina;TABELIONATO DE NOTAS E DE PROTESTOS DE ANTONINA;Certidão de Protesto;E-mail;100
Parana;Apucarana;TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE APUCARANA;Certidão de Protesto;E-mail;100
Parana;Arapongas;TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE ARAPONGAS;Certidão de Protesto;E-mail;100
Parana;Arapoti;TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Parana;Araucária;1º Tabelionato de Protesto de Araucária;Certidão de Protesto;E-mail;100
Parana;Assaí;TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Parana;Assis Chateaubriand;Tabelionato de Protesto da Comarca de Assis Chateaubriand;Certidão de Protesto;E-mail;100
Parana;Astorga;TABELIONATO DE PROTESTO DE TITULOS E DOCUMENTOS;Certidão de Protesto;E-mail;100
Parana;Bandeirantes;Tabelionato de Protesto de Títulos;Certidão de Protesto;E-mail;100
Parana;Barbosa Ferraz;TABELIONATO DE NOTAS E DE PROTESTO;Certidão de Protesto;E-mail;100
Parana;Barração;TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Parana;Bela Vista do Paraíso;TABELIONATO DE NOTAS E PROTESTO DE BELA VISTA DO PARAÍSO;Certidão de Protesto;E-mail;100
Parana;Bocaúva do Sul;TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Parana;Cambará;TABELIONATO DE NOTAS E PROTESTO DE CAMBARÁ;Certidão de Protesto;E-mail;100
Parana;Cambé;1º TABELIONATO DE PROTESTO DE TITULOS DA COMARCA DE CAMBE;Certidão de Protesto;E-mail;100
Parana;Cambé;2 OFICIO TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Parana;Campina da Lagoa;TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Parana;Campina Grande do Sul;TABELIONATO E OFICIO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Parana;Campo Largo;TABELIONATO DE PROTESTO DE TÍTULOS DO FORO REGIONAL DE CAMPO LARGO;Certidão de Protesto;E-mail;100
Parana;Campo Mourão;1. OFICIO DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Parana;Campo Mourão;SEGUNDO OFICIO DE PROTESTO DE TITULOS DE CAMPO MOURÃO;Certidão de Protesto;E-mail;100
Parana;Cândido de Abreu;TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Parana;Cantagalo;TABELIONATO DE PROTESTO E TÍTULOS DA COMARCA DE CANTAGALO;Certidão de Protesto;E-mail;100
Parana;Capenema;TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS DE CAPANEMA;Certidão de Protesto;E-mail;100
Parana;Capitão Leônidas Marques;TABELIONATO DE PROTESTO DE TÍTULO;Certidão de Protesto;E-mail;100
Parana;Carlópolis;TABELIONATO DE PROTESTO DE CARLÓPOLIS;Certidão de Protesto;E-mail;100
Parana;Cascavel;1 TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Parana;Cascavel;2 TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Parana;Castro;TABELIONATO DE PROTESTO DE TITULOS DA COMARCA DE CASTRO;Certidão de Protesto;E-mail;100
Parana;Catanduvas;TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE CATANDUVAS;Certidão de Protesto;E-mail;100
Parana;Centenário do Sul;TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Parana;Cerro Azul;TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS DE CERRO AZUL;Certidão de Protesto;E-mail;100
Parana;Chopinzinho;Tabelionato de Notas e Protesto de Títulos;Certidão de Protesto;E-mail;100
Parana;Cianorte;TABELIONATO DE PROTESTOS DE CIANORTE;Certidão de Protesto;E-mail;100
Parana;Cidade Gaúcha;TABELIONATO DE NOTAS E OFICIO DE PROTESTO DE TíTULOS;Certidão de Protesto;E-mail;100
Parana;Clevelândia;TABELIONATO DE PROTESTO DE CLEVELÂNDIA;Certidão de Protesto;E-mail;100
Parana;Colombo;TABELIONATO DE NOTAS E PROTESTO DE COLOMBO;Certidão de Protesto;E-mail;100
Parana;Colorado;Tabelionato de Notas e Protesto de Títulos;Certidão de Protesto;E-mail;100
Parana;Congonhinhas;TABELIONATO DE PROTESTOS CONGONHINHAS;Certidão de Protesto;E-mail;100
Parana;Corbélia;TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE CORBÉLIA;Certidão de Protesto;E-mail;100
Parana;Conélio Procópio;TABELIONATO DE PROTESTO DE CORNÉLIO PROCÓPIO;Certidão de Protesto;E-mail;100
Parana;Coronel Vivida;CORONEL VIVIDA TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100
Parana;Cruzeiro do Oeste;SERVIÇO DE REGISTRO DE TITULOS E DOCUMENTOS E DE PESSOAS JURÍDICAS E DE PROTESTO DE TITULO;Certidão de Protesto;E-mail;100
Parana;Curitiba;1º TABELIONATO DE PROTESTO DE TÍTULOS DE CURITIBA;Certidão de Protesto;E-mail;100
Parana;Curitiba;2º TABELIONATO DE PROTESTO DE TÍTULOS DE CURITIBA;Certidão de Protesto;E-mail;100
Parana;Curitiba;3 TABELIONATO DE PROTESTO DE CURITIBA;Certidão de Protesto;E-mail;100
Parana;Curitiba;4 TABELIONATO DE PROTESTO DE CURITIBA;Certidão de Protesto;E-mail;100
Parana;Curitiba;5 TABELIONATO DE PROTESTO DE CURITIBA;Certidão de Protesto;E-mail;100
Parana;Curitiba;6 TABELIONATO DE PROTESTO DE CURITIBA;Certidão de Protesto;E-mail;100
Parana;Curiúva;Tabelionato de Notas e de Protesto de Títulos da Comarca de Curiúva;Certidão de Protesto;E-mail;100
