Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Rio de Janeiro;Angra dos Reis;1° Tabelionato de Notas e Protestos de Angra dos Reis;Certidão de Protesto;E-mail;100
Rio de Janeiro;Angra dos Reis;1o Ofício de Justiça de Angra dos Reis;Certidão de Protesto;E-mail;100
Rio de Janeiro;Aperibé;Oficio Único de Aperibé;Certidão de Protesto;E-mail;100
Rio de Janeiro;Araruama;Cartório do 1º Ofício de Araruama;Certidão de Protesto;E-mail;100
Rio de Janeiro;Areal;Ofício Único do Munícipio de Areal;Certidão de Protesto;E-mail;100
Rio de Janeiro;Armação dos Búzios;Ofício Ùnico de Armação de Búzios;Certidão de Protesto;E-mail;100
Rio de Janeiro;Arraial do Cabo;Cartório do Ofício Único de Arraial do Cabo;Certidão de Protesto;E-mail;100
Rio de Janeiro;Barra do Piraí;2 OFÍCIO DE JUSTIÇA DA COMARCA DE BARRA DO PIRAÍ;Certidão de Protesto;E-mail;100
Rio de Janeiro;Barra do Piraí;Cartório do 1o Ofício de Barra do Piraí;Certidão de Protesto;E-mail;100
Rio de Janeiro;Barra do Piraí;Cartório do 3o Ofício de Barra do Piraí;Certidão de Protesto;E-mail;100
Rio de Janeiro;Barra Mansa;SERVICO DO 2 OFICIO DE JUSTICA COMARCA DE BARRA MANSA;Certidão de Protesto;E-mail;100
Rio de Janeiro;Barra Mansa;Serviço Notarial e Registral do 1º Ofício;Certidão de Protesto;E-mail;100
Rio de Janeiro;Belford Roxo;Cartório do 3º Ofício de Justiça;Certidão de Protesto;E-mail;100
Rio de Janeiro;Bom Jardim;2º Ofício Notarial e Registral;Certidão de Protesto;E-mail;100
Rio de Janeiro;Bom Jesus do Itabapoana;Cartório do 2º Ofício;Certidão de Protesto;E-mail;100
Rio de Janeiro;Cabo Frio;1º Ofício de Cabo Frio;Certidão de Protesto;E-mail;100
Rio de Janeiro;Cachoeiras de Macacu;Cartório do 2º Ofício de Cachoeira de Macacu;Certidão de Protesto;E-mail;100
Rio de Janeiro;Cambuci;Ofício Único de Cambuci;Certidão de Protesto;E-mail;100
Rio de Janeiro;Campos dos Goytacazes;CARTORIO DO 11º OFICIO DE CAMPOS;Certidão de Protesto;E-mail;100
Rio de Janeiro;Campos dos Goytacazes;Cartório do 1º Ofício de Campos;Certidão de Protesto;E-mail;100
Rio de Janeiro;Campos dos Goytacazes;Cartório do 5º Oficio;Certidão de Protesto;E-mail;100
Rio de Janeiro;Campos dos Goytacazes;Cartório do 7º Oficio;Certidão de Protesto;E-mail;100
Rio de Janeiro;Cantagalo;SERVICO DO OFICIO UNICO DA COMARCA DE CANTAGALO;Certidão de Protesto;E-mail;100
Rio de Janeiro;Carapebus;Oficio Único de Carapebus;Certidão de Protesto;E-mail;100
Rio de Janeiro;Cardoso Moreira;Oficio Único de Cardoso Moreira;Certidão de Protesto;E-mail;100
Rio de Janeiro;Carmo;Ofício Único de Carmo;Certidão de Protesto;E-mail;100
Rio de Janeiro;Casimiro de Abreu;Ofício Único de Casimiro de Abreu;Certidão de Protesto;E-mail;100
Rio de Janeiro;Comendador Levy Gasparian;Ofício Único de Comendador Levy Gasparian;Certidão de Protesto;E-mail;100
Rio de Janeiro;Conceição de Macabu;Cartório do Ofício Único de Conceição de Macabu;Certidão de Protesto;E-mail;100
Rio de Janeiro;Cordeiro;Cartório do Ofício Único de Cordeiro;Certidão de Protesto;E-mail;100
Rio de Janeiro;Duas Barras;Oficio Único de Duas Barras;Certidão de Protesto;E-mail;100
Rio de Janeiro;Duque de Caxias;1º Oficio de Protesto de Títulos da Comarca de Duque de Caxias;Certidão de Protesto;E-mail;100
Rio de Janeiro;Duque de Caxias;Serviço do 2º Ofício de Protesto de Títulos da Comarca de Duque de Caxias;Certidão de Protesto;E-mail;100
Rio de Janeiro;Engenheiro Paulo Frontin;Cartório do Ofício Único de Engenheiro Paulo de Frontin;Certidão de Protesto;E-mail;100
Rio de Janeiro;Guapimirim;Ofício Único de Guapimirim;Certidão de Protesto;E-mail;100
Rio de Janeiro;Iguaba Grande;Cartório do Ofício Único de Iguaba Grande;Certidão de Protesto;E-mail;100
Rio de Janeiro;Itaborai;Cartório do 1º Ofício de Itaboraí;Certidão de Protesto;E-mail;100
Rio de Janeiro;Itaguaí;Cartório do 1º Ofício de Itaguaí;Certidão de Protesto;E-mail;100
Rio de Janeiro;Italva;Ofício Único de Italva;Certidão de Protesto;E-mail;100
Rio de Janeiro;Itaocara;Cartório do 1o Ofício de Notas e Registros;Certidão de Protesto;E-mail;100
Rio de Janeiro;Itaperuna;Cartório do 3º Ofício de Itaperuna;Certidão de Protesto;E-mail;100
Rio de Janeiro;Itatiaia;Ofício Único do Munícipio de Itatiaia;Certidão de Protesto;E-mail;100
Rio de Janeiro;Japeri;Oficio Unico de Japeri;Certidão de Protesto;E-mail;100
Rio de Janeiro;Laje do Muriaé;Cartorio Camila Conti Galvão;Certidão de Protesto;E-mail;100
Rio de Janeiro;Macaé;1º Ofício de Justiça de Macaé;Certidão de Protesto;E-mail;100
Rio de Janeiro;Macuco;Oficio Único de Macuco;Certidão de Protesto;E-mail;100
Rio de Janeiro;Magé;Cartório do 1º Ofício de Magé;Certidão de Protesto;E-mail;100
Rio de Janeiro;Mangaratiba;Ofício Único de Mangaratiba;Certidão de Protesto;E-mail;100
Rio de Janeiro;Maricá;1º Ofício de Justiça de Maricá;Certidão de Protesto;E-mail;100
Rio de Janeiro;Mendes;Cartório do Ofício Ùnico de Mendes;Certidão de Protesto;E-mail;100
Rio de Janeiro;Mesquita;1º Oficio da Comarca de Mesquita;Certidão de Protesto;E-mail;100
Rio de Janeiro;Miguel Pereira;Oficio Único de Miguel Pereira;Certidão de Protesto;E-mail;100
Rio de Janeiro;Miracema;Cartório do 2º Ofício de Miracema;Certidão de Protesto;E-mail;100
Rio de Janeiro;Natividade;CARTÓRIO OFÍCIO ÚNICO DE NATIVIDADE;Certidão de Protesto;E-mail;100
Rio de Janeiro;Nilópolis;3 OFICIO DE NILOPOLIS;Certidão de Protesto;E-mail;100
Rio de Janeiro;Niterói;3º Oficio de Registro de Protesto de Títulos de Niterói;Certidão de Protesto;E-mail;100
Rio de Janeiro;Niterói;Cartório do 13º Ofício de Niterói;Certidão de Protesto;E-mail;100
Rio de Janeiro;Niterói;Cartório do 13º Ofício de Niterói;Certidão de Protesto;E-mail;100
Rio de Janeiro;Nova Fraiburgo;3º Ofício de Nova Friburgo;Certidão de Protesto;E-mail;100
Rio de Janeiro;Nova Iguaçu;3º Serviço Notarial e Registral de Nova Iguaçu;Certidão de Protesto;E-mail;100
Rio de Janeiro;Paracambi;Cartório do 2º Ofício de Paracambi;Certidão de Protesto;E-mail;100
Rio de Janeiro;Paraíba do Sul;Cartório do 1º Ofício de Paraíba do Sul;Certidão de Protesto;E-mail;100
Rio de Janeiro;Paraty;Ùnico Serviço Notarial e Registral de Paraty;Certidão de Protesto;E-mail;100
Rio de Janeiro;Paty do Alferes;Cartório do Ofício Único da Comarca de Paty do Alferes;Certidão de Protesto;E-mail;100
