Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor;
Rio Grande do Norte;Acari;CARTORIO UNICO DE NOTAS E REGISTROS DE ACARI;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Açu;3 TABELIONATO DE NOTAS, PROTESTOS REGISTRO DE TITULOS E DOCUMENTOS E CIVIL DE PESSOAS JURIDICAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Afonso Bezerra;OFICIO UNICO DE AFONSO BEZERRA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Água Nova;OFICIO UNICO DE AGUA NOVA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Alexandria;ALEXANDRIA CARTORIO UNICO OFICIO DE NOTAS, REGISTRO CIVIL E DE IMOVEIS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Almino Afonso;OFICIO UNICO DE ALMINO AFONSO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Angicos;TABELIONATO DE PROTESTOS DE ANGICOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Antônio Martins;OFICIO UNICO DO TERMO DE ANTONIO MARTINS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Apodi;CARTORIO DO 2º OFICIO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Areia Branca;OFICIO UNICO DE NOTAS E REGISTROS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Baía Formosa;CARTORIO UNICO DE BAIA FORMOSA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Baraúna;CARTORIO UNICO DE BARAUNA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Barcelona;OFICIO UNICO DE BARCELONA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Bento Fernandes;OFICIO UNICO DE BENTO FERNANDES;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Bodó;OFICIO UNICO DO MUNICIPIO DE BODO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Brejinho;SERVIÇO NOTARIAL E REGISTRAL DE BREJINHO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Caiçara do Norte;OFICIO UNICO DE CAIÇARA DO NORTE;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Caiçara do Rio do Vento;OFICIO UNICO DE CAIÇARA DO RIO VERMELHO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Caicó;3 OFICIO DE NOTAS E REG. DE PROTESTOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Campo Grande;CAMPO GRANDE CARTORIO UNICO OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Campo Redondo;OFICIO UNICO DE CAMPO REDONDO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Canguaretama;OFICIO UNICO DE REGISTROS E NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Caraúbas;CARAUBAS OFICIO UNICO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Carnaúba dos Dantas;CARTORIO UNICO DE CARNAUBA DOS DANTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Carnaubais;1 TABELIONATO DE NOTAS E PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Ceará-Mirim;3º OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Cerro Corá;CERRO CORA OFICIO UNICO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Coronel Ezequiel;OFICIO UNICO DE CORONEL EZEQUIEL;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Coronel João Pessoa;OFICIO UNICO DE CORONEL JOÃO PESSOA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Cruzeta;CARTORIO UNICO DA COMARCA DE CRUZETA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Currais Novos;2 OFICIO DE NOTAS DE CURRAIS NOVOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Doutor Severiano;CARTORIO UNICO DE DOUTOR SEVERIANO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Encanto;CARTORIO UNICO DE ENCANTO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Equador;OFICIO UNICO DE EQUADOR;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Espírito Santo;CARTORIO UNICO DE ESPIRITO SANTO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Extremoz;CARTORIO UNICO DE EXTREMOZ;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Felipe Guerra;CARTORIO UNICO EXTRAJUDICIAL DE FELIPE GUERRA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Fernando Pedroza;CARTORIO UNICO DE FERNANDO PEDROZA;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Florânia;FLORANIA CARTORIO 1 OFICIO DE NOTAS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Frutuoso Gomes;CARTORIO UNICO DE FRUTUOSO GOMES;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Goianinha;2º TABELIONATO DE NOTAS, PROTESTOS DE TITULOS E OFICIO DE REGISTRO CIVIL;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Governador Dix-Sept Rosado;OFICIO UNICO DE GOVERNADOR DIX-SEPT ROSADO;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Grossos;CARTORIO UNICO DE GROSSOS;Certidão de Protesto;E-mail;100;
Rio Grande do Norte;Guamaré;CARTORIO OFICIO UNICO DE GUAMARE;Certidão de Protesto;E-mail;100;
