Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Rondonia;Alta Floresta do Oeste;TAB DE PROTESTO - OFÍCIO DE REGISTRO CIVIL, NOTAS E ANEXOS AF;Certidão de Protesto;E-mail;100
Rondonia;Alvorada do Oeste;OFICIO DO REGISTRO DE IMOVEIS, PROTESTO DE TITULOS E ANEXOS;Certidão de Protesto;E-mail;100
Rondonia;Ariquemes;OFICIO DE TABELIONATO DE PROTESTO DE TITULOS E DOCUMENTOS DO MUNICÍPIO E COMARCA DE ARIQUEMES;Certidão de Protesto;E-mail;100
Rondonia;Buritis;OFÍCIO DO REGISTRO DE IMÓVEIS, TÍT. E DOCUMENTOS, PESSOAS JURÍDICAS E TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Rondonia;Cacoal;TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Rondonia;Cerejeiras;Tabelionato de Protesto de Titulos de Cerejeiras ;Certidão de Protesto;E-mail;100
Rondonia;Colorado do Oeste;OFICIO DE REGISTRO DE IMOVEIS E ANEXOS;Certidão de Protesto;E-mail;100
Rondonia;Costa Marques;CARTÓRIO OFICIO ÚNICO;Certidão de Protesto;E-mail;100
Rondonia;Espigão do Oeste;OFICIO DE REGISTRO DE IMOVEIS, TITULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURIDICAS, TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Rondonia;Guajará-Mirim;TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Rondonia;Jaru;TABELIONATO DE PROTESTO DE TITULOS JARU;Certidão de Protesto;E-mail;100
Rondonia;Ji-Paraná;1º TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Rondonia;Ji-Paraná;2º TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Rondonia;Machadinho do Oeste;TABELIONATO DE PROTESTO DA COMARCA DE MACHADINHO;Certidão de Protesto;E-mail;100
Rondonia;Nova Brasilândia do Oeste;TABELIONATO DE PROTESTO DA COMARCA DE MACHADINHO;Certidão de Protesto;E-mail;100
Rondonia;Ouro Preto do Oeste;TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Rondonia;Pimenta Bueno;TABELIONATO DE PROTESTO DE TÍTULOS PIMENTA BUENO;Certidão de Protesto;E-mail;100
Rondonia;Porto Velho;1º TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Rondonia;Porto Velho;2 TABELIONATO DE PROTESTO DE TITULOS DE PORTO VELHO;Certidão de Protesto;E-mail;100
Rondonia;Porto Velho;3º TABELIONATO DE PROTESTO DE TÍTULOS E DOCUMENTOS;Certidão de Protesto;E-mail;100
Rondonia;Porto Velho;4 TABELIONATO DE PROTESTO DE TITULOS DO MUNICÍPIO E COMARCA DE PORTO VELHO;Certidão de Protesto;E-mail;100
Rondonia;Presidente Médici;TABELIONATO DE NOTAS PROTESTO, TITULOS E DOCUMENTOS E PESSOAS JURIDICAS;Certidão de Protesto;E-mail;100
Rondonia;Rolim de Moura;TABELIONATO DE PROTESTO DE ROLIM DE MOURA;Certidão de Protesto;E-mail;100
Rondonia;Santa Luzia do Oeste;CARTORIO ARRUDA;Certidão de Protesto;E-mail;100
Rondonia;São Francisco do Guaporé;TABELIONATO DE PROTESTO DE SAO FRANCISCO DO GUAPORE;Certidão de Protesto;E-mail;100
Rondonia;São Miguel do Guaporé;REGISTRO DE IMOVEIS, TITULOS E DOCUMENTOS E CIVIS DAS PESSOAS JURIDICAS E TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Rondonia;Vilhena;2 TABELIONATO DE PROTESTO DE VILHENA;Certidão de Protesto;E-mail;100
Rondonia;Vilhena;CARTÓRIO PROTESTO DE VILHENA;Certidão de Protesto;E-mail;100
