Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Rio Grande do Sul;Água Santa;SERVICO NOTARIAL E REGISTRAL DE AGUA SANTA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Agudo;TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Ajuricaba;TABELIONATO DE PROTESTO DE AJURICABA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Alecrim;SERVIÇO REGISTRAL DE ALECRIM;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Alegrete;OFÍCIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E ESPECIAIS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Alegria;SERVIÇOS NOTARIAIS E DE REGISTRO DE ALEGRIA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Alpestre;OFICIO DOS REGISTRO PÚBLICOS DE ALPESTRE;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Alvorada;2° Tabelionato de Protesto de Alvorada;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Alvorada;Ofício dos Registros Públicos - Alvorada;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Amaral Ferrador;TABELIONATO GUERRA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Ametista do Sul;SERVIÇOS NOTARIAIS E DE REGISTROS DE AMETISTA DO SUL;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Anta Gorda;SERVIÇOS NOTARIAIS E REGISTRAIS DE ANTA GORDA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Antônio Prado;SERVIÇO REGISTRAL PÚBLICO DE ANTONIO PRADO;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Arambaré;TABELIONATO DE NOTAS E PROTESTOS DE ARAMBARE;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Aratiba;TABELIONATO DE PROTESTOS DE TÍTULOS DE ARATIBA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Arroio do Meio;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS DE ARROIO DO MEIO;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Arroio do Sal;TABELIONATO DE PROTESTOS DE ARROIO DO SAL;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Arroio do Tigre;REGISTROS PÚBLICOS DE ARROIO DO TIGRE;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Arroio dos Ratos;TABELIONATO DE PROTESTOS DE ARROIO DOS RATOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Arroio Grande;TABELIONATO EWALD;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Arvorezinha;Tabelionato Arvorezinha;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Augusto Pestana;TABELIONATO DE PROTESTOS DE TÍTULOS DE AUGUSTO PESTANA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Bagé;2º Tabelionato de Protestos de Bagé;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Bagé;SERVIÇO NOTARIAL E REGISTRAL DE BAGÉ;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Barra do Ribeiro;TABELIONATO DE PROTESTOS DE TÍTULOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Barracão;REGISTROS PÚBLICOS E ANEXOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Barros Cassal;SERVIÇO NOTARIAL DE BARROS CASSAL;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Bento Gonçalves;TABELIONATO DE PROTESTOS DE BENTO GONCALVES;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Boa Vista do Buricá;TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Bom Jesus;TABELIONATO DE PROTESTOS DE TITULOS DE BOM JESUS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Bom Princípio;CARTORIO BOM PRINCIPIO;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Bom Retiro do Sul;OFÍCIO DOS REGISTROS PÚBLICOS DE BOM RETIRO DO SUL;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Bossoroca;TABELIONATO DE PROTESTOS DE BOSSOROCA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Braga;REGISTROS PÚBLICOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Brochier;SERVIÇO NOTARIAL, REGISTRAL E ESPECIAL DE BROCHIER;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Butiá;TABELIONATO DE NOTAS E PROTESTO DE BUTIA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Caçapava do Sul;Registros Especiais de Caçapava do Sul;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cacequi;tabelionato de notas e de serviço de registros especiais de cacequi;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cachoeira do Sul;TABELIONATO MATEUS HICKMANN ALVES;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cachoeirinha;TABELIONATO DE PROTESTO DE TITULOS DE CACHOEIRINHA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cacique Doble;REGISTROS PÚBLICOS E ANEXOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Caibaté;TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Caiçara;Serviço Notarial e Registral de Caiçara;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Camaquã;Tabelionato de Protesto Camaquã;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Camargo;REGISTRO CIVIL, TABELIONATO E ESPECIAIS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cambará do Sul;SERVIÇOS NOTARIAIS E DE REGISTROS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Campina das Missões;TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Campinas do Sul;TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Campo Bom;Cartório de Registro de Imóveis e Especiais de Campo Bom;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Campo Novo;OFÍCIO DE REGISTROS PÚBLICOS SEDE;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Candelária;Cartório de Registros Públicos;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cândido Godói;TABELIONATO DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Candiota;SERVIÇO NOTARIAL E REGISTRAL DE CANDIOTA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Canela;REGISTROS PÚBLICOS E TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
