Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Santa Catarina;Abelardo Luz;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Anchieta;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Anita Garibaldi;1º TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Araquari;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Araranguá;2 TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Santa Catarina;Araranguá;ALBERTINA BITTENCOURT GHIZZO;Certidão de Protesto;E-mail;100
Santa Catarina;Armazém;TABELIONATO DE NOTAS E DE PROTESTOS;Certidão de Protesto;E-mail;100
Santa Catarina;Ascurra;TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS DE ASCURRA;Certidão de Protesto;E-mail;100
Santa Catarina;Balneário Camboriú;1 TABELIONATO DE NOTAS E PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Balneário Camboriú;2º TABELIONATO NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Balneário Piçarras;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Barra Velha;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Biguaçu;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Blumenau;1º TABELIONATO DE NOTAS E PROTESTOS DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Blumenau;2º TABELIONATO DE NOTAS E PROTESTOS DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Blumenau;3º Tabelionato de Notas e Protesto de Títulos;Certidão de Protesto;E-mail;100
Santa Catarina;Bom Retiro;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Braço do Norte;TABELIONATO DE NOTAS E DE PROTESTOS EM GERAL;Certidão de Protesto;E-mail;100
Santa Catarina;Brusque;1 TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Santa Catarina;Brusque;2° TABELIONATO DE PROTESTOS DE BRUSQUE;Certidão de Protesto;E-mail;100
Santa Catarina;Caçador;1º TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Caçador;2º TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Camboriú;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Campo Belo do Sul;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Campo Erê;TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS DA COMARCA DE CAMPO ERÊ;Certidão de Protesto;E-mail;100
Santa Catarina;Campos Novos;1º TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Santa Catarina;Campos Novos;2º TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Santa Catarina;Canoinhas;1 TABELIONATO DE NOTAS E DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Canoinhas;2º TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Capinzal;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Capivari de Baixo;TABELIONATO DE NOTAS E DE PROTESTOS;Certidão de Protesto;E-mail;100
Santa Catarina;Catanduvas;TABELIONATO DE NOTAS E DE PROTESTOS;Certidão de Protesto;E-mail;100
Santa Catarina;Chapecó;1º TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Chapecó;2º TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Concórdia;1 TABELIONATO DE NOTAS E 2 PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Concórdia;2 OFICIO DE REGISTRO DE IMOVEIS E 1 TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Santa Catarina;Coronel Freitas;Tabelionato de Notas e Protesto de Títulos;Certidão de Protesto;E-mail;100
Santa Catarina;Correia Pinto;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Criciúma;1º Tabelionato de Notas e Ofício de protesto de Títulos;Certidão de Protesto;E-mail;100
Santa Catarina;Criciúma;2º TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Cunha Porã;TABELIONATO DE NOTAS E DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Curitibanos;1 TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Santa Catarina;Curitibanos;2º TABELIONATO DE NOTAS E PROTESTO - Curitibanos;Certidão de Protesto;E-mail;100
