Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Sergipe;Aquidabã;CARTORIO OFÍCIO ÚNICO DA COMARCA DE AQUIDABÃ;Certidão de Protesto;E-mail;100
Sergipe;Aracaju;3 TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Sergipe;Aracaju;5º OFÍCIO DE REGISTRO DE IMÓVEIS, TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Sergipe;Arauá;OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Sergipe;Barra dos Coqueiros;OFÍCIO DE NOTAS E PROTESTO DE BARRA DOS COQUEIROS;Certidão de Protesto;E-mail;100
Sergipe;Boquim;CARTÓRIO DO OFÍCIO ÚNICO DE BOQUIM;Certidão de Protesto;E-mail;100
Sergipe;Campo do Brito;NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Sergipe;Canidé de São Francisco;CARTORIO DO UNICO OFICIO DE CANINDE DE SAO FRANCISCO;Certidão de Protesto;E-mail;100
Sergipe;Capela;NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Sergipe;Carira;1º OFÍCIO DE NOTAS E PROTESTO DE CARIRA;Certidão de Protesto;E-mail;100
Sergipe;Carmópolis;CARTORIO DO ÚNICO OFÍCIO DE CARMÓPOLIS;Certidão de Protesto;E-mail;100
Sergipe;Cedro de São João;CARTÓRIO DO OFÍCIO ÚNICO DA COMARCA DE CEDRO DE SÃO JOÃO;Certidão de Protesto;E-mail;100
Sergipe;Cristinápolis;CARTÓRIO DO 1° OFICIO DA COMARCA DE CRISTINÁPOLIS;Certidão de Protesto;E-mail;100
Sergipe;Estância;NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Sergipe;Frei Paulo;1º OFÍCIO DE NOTAS E PROTESTO DE FREI PAULO;Certidão de Protesto;E-mail;100
Sergipe;Gararu;1º OFÍCIO DE REGISTRO DE IMÓVEIS E TABELIONATO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Sergipe;Indiaroba;CARTÓRIO DO OFÍCIO ÚNICO DA COMARCA DE INDIAROBA;Certidão de Protesto;E-mail;100
Sergipe;Itabaiana;CARTÓRIO DO 3º OFÍCIO DA COMARCA DE ITABAIANA;Certidão de Protesto;E-mail;100
Sergipe;Itabaianinha;NOTAS, PROTESTO E REGISTRO DE IMÓVEIS;Certidão de Protesto;E-mail;100
Sergipe;Itaporanga d'Ajuda;CARTORIO DO 1. OFICIO D ITAPORANGA D AJUDA;Certidão de Protesto;E-mail;100
Sergipe;Japaratuba;REGISTRO CIVIL, REGISTRO DE IMÓVEIS, PESSOA JURÍDICA, TÍTULOS E DOCUMENTOS, NOTAS E PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Sergipe;Lagarto;1º Ofício da Comarca de Lagarto;Certidão de Protesto;E-mail;100
Sergipe;Laranjeiras;OFICIO DE NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Sergipe;Malhador;CARTÓRIO DO OFÍCIO ÚNICO DA COMARCA DE MALHADOR;Certidão de Protesto;E-mail;100
Sergipe;Maruim;CARTORIO DE OFICIO UNICO DA COMERCA DE MARUIM;Certidão de Protesto;E-mail;100
Sergipe;Neópolis;Ofício Único da Comarca de Neópolis;Certidão de Protesto;E-mail;100
Sergipe;Nossa Senhora da Glória;CARTORIO DO 1º OFICIO DE NOSSA SENHORA DA GLÓRIA;Certidão de Protesto;E-mail;100
Sergipe;Nossa Senhora das Dores;CARTÓRIO DO 1 OFICIO DE N. SRA. DAS DORES;Certidão de Protesto;E-mail;100
Sergipe;Nossa Senhora do Socorro;1 OFÍCIO DE NOSSA SENHORA DO SOCORRO;Certidão de Protesto;E-mail;100
Sergipe;Pacatuba;OFÍCIO ÚNICO DE PACATUBA;Certidão de Protesto;E-mail;100
Sergipe;Poço Redondo;Cartório de Notas Protestos e Títulos da Comarca de Poço Redondo;Certidão de Protesto;E-mail;100
Sergipe;Poço Verde;CARTORIO DO 1º OFICIO, TABELIONATO DE NOTAS E PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Sergipe;Porto da Folha;NOTAS E PROTESTOS;Certidão de Protesto;E-mail;100
Sergipe;Prórpia;PRIMEIRO OFICIO DE PROPRIÁ;Certidão de Protesto;E-mail;100
Sergipe;Riação do Dantas;Ofício Único da Comarca de Riachão do Dantas;Certidão de Protesto;E-mail;100
Sergipe;Riachuelo;CARTÓRIO DO 1º OFÍCIO DA COMARCA DE RIACHUELO;Certidão de Protesto;E-mail;100
Sergipe;Ribeirópolis;CARTÓRIO DO PRIMEIRO OFÍCIO DE RIBEIRÓPOLIS;Certidão de Protesto;E-mail;100
Sergipe;São Cristóvão;CARTÓRIO DO PRIMEIRO OFÍCIO;Certidão de Protesto;E-mail;100
Sergipe;Simão Dias;CARTÓRIO DO 1º OFÍCIO;Certidão de Protesto;E-mail;100
Sergipe;Tobias Barreto;1º Ofício da Comarca de Tobias Barreto;Certidão de Protesto;E-mail;100
Sergipe;Umbaúba;NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
