Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
São Paulo;Adamantina;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Aguaí;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Águas de Lindóia;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Agudos;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Agudos;OFICIO DE REGISTRO DE IMOVEIS E OUTROS;Certidão de Protesto;E-mail;100
São Paulo;Altinópolis;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Americana;1 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Americana;2 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Amparo;1 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Amparo;2 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Andradina;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Angatuba;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Angatuba;OFICIO DE REGISTRO DE IMOVEIS E OUTROS;Certidão de Protesto;E-mail;100
São Paulo;Aparecida;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Apiaí;TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araçatuba;1 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araçatuba;2 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araçatuba;3 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araraquara;1 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araraquara;2 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araraquara;3 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araraquara;OFICIO DE REGISTRO DE IMOVEIS E OUTROS;Certidão de Protesto;E-mail;100
São Paulo;Araras;1 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
São Paulo;Araras;2 TABELIÃO DE NOTAS E PROTESTO ;Certidão de Protesto;E-mail;100
