Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Tocantins;Abreulândia;ÚNICO SERVIÇO NOTARIAL E REGISTRAL COM ATRIBUIÇÕES ESPECIALIZADAS DE TABELIONATO DE NOTAS, TABELIONADO DE PROTESTO DE TÍTULOS, REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS, REGISTRO CIVIL DAS PESSOAS JURÍDICAS, E REGISTRO CIVIL DAS PESSOAS NATURA;Certidão de Protesto;E-mail;100
Tocantins;Aguiarnópolis;Único Serviço Notarial e Registral de Aguiarnópolis;Certidão de Protesto;E-mail;100
Tocantins;Aliança do Tocantins;Registro de Imóveis, Pessoas Jurídicas, Títulos e Documentos, Tabelionato de Protestos e Notas de Aliança do Tocantins;Certidão de Protesto;E-mail;100
Tocantins;Almas;TABELIONATO DE PROTESTO DE ALMAS;Certidão de Protesto;E-mail;100
Tocantins;Alvorada;UNICO SERVICO NOTARIAL E REGISTRAL DE ALVORADA;Certidão de Protesto;E-mail;100
Tocantins;Ananás;UNICO SERVIÇO NOTARIAL E REGISTRAL DE ANANÁS;Certidão de Protesto;E-mail;100
Tocantins;Aparecida do Rio Negro;CARTÓRIO DE REGISTRO DE IMOVEIS E ANEXO;Certidão de Protesto;E-mail;100
Tocantins;Aragominas;ÚNICO SERVIÇO NOTARIAL E REGISTRAL DE ARAGOMINAS;Certidão de Protesto;E-mail;100
Tocantins;Araguacema;CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS JURIDICAS, TITULOS, DOCUMENTOS, PROTESTO E 2º TABELIONATO DE NOTAS DE ARAGUACEMA;Certidão de Protesto;E-mail;100
Tocantins;Araguaçu;ÚNICO SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Tocantins;Araguaina;SERVICO DE TABELIONATO DE PROTESTO DE TITULOS, REGISTRO DE PESSOAS JURIDICAS, TITULOS E DOCUMENTOS DA COMARCA DE ARAGUAINA;Certidão de Protesto;E-mail;100
Tocantins;Araguanã;ÚNICO SERVIÇO NOTARIAL E REGISTRAL DE ARAGUANÃ;Certidão de Protesto;E-mail;100
Tocantins;Araguatins;CARTÓRIO VALE;Certidão de Protesto;E-mail;100
Tocantins;Arapoema;CARTORIO DO 2 TABELIONATO DE NOTAS,REGISTRO DE TITULOS E DOCUMENTOS,PROTESTO DE TITULOS E REGISTRO DE CIVIL DE PESSOAS JURIDICAS, ETC...;Certidão de Protesto;E-mail;100
Tocantins;Arraias;cartório de Nota do 2º Oficio, Registro de Títulos, Documentos;Certidão de Protesto;E-mail;100
Tocantins;Augustinópolis;Cartório 2º Tabelionato de Notas;Certidão de Protesto;E-mail;100
Tocantins;Aurora do Tocantins;CARTORIO DEIVID HEBERTH TAVARES LEITE;Certidão de Protesto;E-mail;100
Tocantins;Axixá do Tocantins;CARTÓRIO IZABEL ARAÚJO MENDONÇA;Certidão de Protesto;E-mail;100
Tocantins;Babaçulândia;ÚNICO OFÍCIO NOTARIAL, REGISTRAL E ANEXOS;Certidão de Protesto;E-mail;100
